Timestamp	GSR	2023-07-21 14:07:16.911	fs=64.0
261153.157	3.462
261153.177	3.462
261153.192	3.462
261153.224	3.463
261153.252	3.464
261153.254	3.466
261153.264	3.467
261153.270	3.469
261153.295	3.469
261153.299	3.470
261153.313	3.472
261153.337	3.473
261153.369	3.475
261153.370	3.478
261153.389	3.478
261153.395	3.481
261153.415	3.481
261153.446	3.484
261153.448	3.484
261153.472	3.488
261153.474	3.488
261153.494	3.489
261153.504	3.491
261153.522	3.492
261153.536	3.494
261153.561	3.498
261153.569	3.498
261153.604	3.501
261153.605	3.503
261153.627	3.507
261153.629	3.507
261153.646	3.510
261153.661	3.511
261153.680	3.514
261153.723	3.517
261153.729	3.519
261153.731	3.519
261153.741	3.522
261153.751	3.522
261153.776	3.525
261153.784	3.525
261153.811	3.527
261153.812	3.529
261153.837	3.532
261153.860	3.533
261153.869	3.536
261153.894	3.538
261153.899	3.541
261153.920	3.542
261153.921	3.545
261153.950	3.545
261153.962	3.549
261153.976	3.549
261153.986	3.552
261154.010	3.552
261154.017	3.555
261154.041	3.555
261154.076	3.558
261154.077	3.558
261154.102	3.560
261154.104	3.561
261154.124	3.564
261154.145	3.564
261154.146	3.567
261154.177	3.567
261154.179	3.568
261154.204	3.570
261154.211	3.571
261154.225	3.573
261154.244	3.573
261154.254	3.573
261154.270	3.574
261154.302	3.573
261154.304	3.576
261154.318	3.576
261154.334	3.577
261154.360	3.577
261154.370	3.579
261154.395	3.579
261154.396	3.583
261154.426	3.583
261154.427	3.586
261154.445	3.588
261154.461	3.590
261154.474	3.593
261154.499	3.596
261154.504	3.596
261154.535	3.601
261154.536	3.602
261154.555	3.607
261154.569	3.610
261154.595	3.611
261154.596	3.614
261154.621	3.618
261154.622	3.621
261154.651	3.626
261154.671	3.629
261154.685	3.634
261154.719	3.637
261154.720	3.642
261154.740	3.645
261154.741	3.649
261154.753	3.652
261154.782	3.656
261154.784	3.661
261154.802	3.665
261154.810	3.668
261154.839	3.673
261154.852	3.675
261154.866	3.680
261154.895	3.683
261154.896	3.687
261154.918	3.692
261154.922	3.696
261154.954	3.697
261154.967	3.703
261154.977	3.706
261155.002	3.711
261155.004	3.714
261155.034	3.721
261155.041	3.722
261155.065	3.725
261155.066	3.727
261155.094	3.730
261155.095	3.733
261155.120	3.736
261155.146	3.737
261155.161	3.741
261155.171	3.743
261155.179	3.747
261155.192	3.750
261155.210	3.753
261155.226	3.755
261155.259	3.759
261155.261	3.759
261155.271	3.762
261155.302	3.762
261155.304	3.763
261155.314	3.765
261155.335	3.768
261155.361	3.766
261155.362	3.769
261155.387	3.769
261155.409	3.772
261155.410	3.771
261155.426	3.774
261155.450	3.772
261155.465	3.775
261155.491	3.775
261155.492	3.777
261155.506	3.779
261155.517	3.779
261155.539	3.778
261155.552	3.779
261155.570	3.778
261155.597	3.778
261155.599	3.778
261155.631	3.781
261155.642	3.784
261155.649	3.784
261155.665	3.787
261155.684	3.787
261155.689	3.788
261155.716	3.790
261155.735	3.788
261155.736	3.790
261155.761	3.787
261155.772	3.790
261155.786	3.787
261155.810	3.788
261155.811	3.787
261155.840	3.787
261155.841	3.785
261155.866	3.785
261155.876	3.784
261155.904	3.782
261155.920	3.779
261155.921	3.779
261155.953	3.777
261155.954	3.775
261155.975	3.774
261156.001	3.774
261156.016	3.771
261156.022	3.771
261156.076	3.768
261156.077	3.768
261156.092	3.763
261156.094	3.763
261156.104	3.760
261156.126	3.760
261156.127	3.758
261156.152	3.758
261156.155	3.753
261156.184	3.755
261156.185	3.752
261156.215	3.752
261156.235	3.752
261156.236	3.752
261156.260	3.749
261156.274	3.749
261156.316	3.746
261156.318	3.744
261156.326	3.741
261156.335	3.741
261156.346	3.738
261156.370	3.737
261156.375	3.734
261156.400	3.734
261156.406	3.731
261156.440	3.730
261156.441	3.727
261156.466	3.727
261156.475	3.724
261156.494	3.722
261156.507	3.721
261156.517	3.722
261156.549	3.719
261156.550	3.719
261156.573	3.716
261156.591	3.715
261156.597	3.712
261156.622	3.712
261156.650	3.709
261156.651	3.709
261156.676	3.706
261156.677	3.706
261156.700	3.703
261156.712	3.703
261156.732	3.700
261156.742	3.699
261156.774	3.699
261156.775	3.697
261156.792	3.697
261156.802	3.697
261156.812	3.695
261156.835	3.696
261156.845	3.696
261156.864	3.697
261156.877	3.696
261156.906	3.696
261156.916	3.695
261156.922	3.693
261156.948	3.692
261156.965	3.692
261156.979	3.689
261157.010	3.689
261157.011	3.686
261157.036	3.684
261157.037	3.683
261157.062	3.683
261157.070	3.680
261157.086	3.680
261157.101	3.680
261157.114	3.678
261157.139	3.675
261157.154	3.675
261157.170	3.673
261157.179	3.674
261157.190	3.671
261157.214	3.671
261157.231	3.670
261157.257	3.670
261157.259	3.668
261157.284	3.668
261157.285	3.665
261157.309	3.665
261157.310	3.664
261157.339	3.665
261157.374	3.662
261157.375	3.664
261157.389	3.661
261157.396	3.662
261157.415	3.661
261157.424	3.661
261157.443	3.658
261157.467	3.659
261157.497	3.658
261157.499	3.659
261157.507	3.658
261157.521	3.658
261157.540	3.656
261157.574	3.658
261157.575	3.656
261157.606	3.658
261157.607	3.656
261157.624	3.656
261157.635	3.655
261157.647	3.658
261157.656	3.656
261157.681	3.656
261157.701	3.656
261157.730	3.658
261157.745	3.656
261157.746	3.658
261157.756	3.656
261157.781	3.659
261157.791	3.658
261157.809	3.658
261157.810	3.658
261157.854	3.659
261157.855	3.659
261157.862	3.659
261157.887	3.658
261157.896	3.659
261157.921	3.659
261157.922	3.659
261157.966	3.659
