Timestamp	GSR	2023-07-18 14:45:02.101	fs=64.0
4216.358	0.011
4216.368	0.011
4216.388	0.011
4216.399	0.011
4216.410	0.011
4216.441	0.011
4216.467	0.011
4216.468	0.011
4216.492	0.011
4216.511	0.011
4216.511	0.011
4216.523	0.011
4216.549	0.011
4216.551	0.011
4216.572	0.011
4216.605	0.011
4216.606	0.011
4216.613	0.011
4216.638	0.011
4216.671	0.011
4216.672	0.011
4216.683	0.011
4216.694	0.011
4216.716	0.011
4216.733	0.011
4216.747	0.011
4216.785	0.011
4216.787	0.011
4216.812	0.010
4216.813	0.011
4216.839	0.011
4216.849	0.011
4216.859	0.011
4216.872	0.011
4216.907	0.011
4216.908	0.011
4216.909	0.011
4216.928	0.011
4216.943	0.011
4216.963	0.011
4216.976	0.011
4216.993	0.011
4217.019	0.011
4217.046	0.011
4217.048	0.011
4217.074	0.011
4217.076	0.011
4217.101	0.011
4217.102	0.011
4217.113	0.011
4217.143	0.011
4217.156	0.011
4217.164	0.011
4217.189	0.011
4217.197	0.011
4217.222	0.011
4217.237	0.011
4217.266	0.011
4217.273	0.011
4217.287	0.011
4217.302	0.011
4217.309	0.011
4217.332	0.011
4217.338	0.011
4217.354	0.011
4217.382	0.011
4217.383	0.011
4217.402	0.011
4217.414	0.011
4217.438	0.011
4217.439	0.011
4217.464	0.011
4217.476	0.011
4217.506	0.011
4217.507	0.011
4217.523	0.011
4217.543	0.011
4217.567	0.011
4217.573	0.011
4217.582	0.011
4217.617	0.011
4217.618	0.011
4217.633	0.011
4217.658	0.011
4217.664	0.011
4217.689	0.011
4217.696	0.011
4217.726	0.011
4217.754	0.011
4217.776	0.011
4217.777	0.011
4217.779	0.011
4217.806	0.011
4217.807	0.011
4217.833	0.011
4217.839	0.011
4217.873	0.011
4217.874	0.011
4217.886	0.011
4217.903	0.011
4217.912	0.011
4217.931	0.011
4217.942	0.011
4217.973	0.011
4217.988	0.011
4217.996	0.011
4218.006	0.011
4218.021	0.011
