WL	EN	AR	Marker
1.3331e+00	2.3768e-01	2.7569e+00	0.0000e+00
1.3327e+00	2.3792e-01	2.7548e+00	0.0000e+00
1.3312e+00	2.3851e-01	2.7530e+00	0.0000e+00
1.3326e+00	2.3843e-01	2.7517e+00	0.0000e+00
1.3369e+00	2.3763e-01	2.7522e+00	0.0000e+00
1.3422e+00	2.3656e-01	2.7559e+00	0.0000e+00
1.3470e+00	2.3565e-01	2.7645e+00	0.0000e+00
1.3511e+00	2.3490e-01	2.7786e+00	0.0000e+00
1.3549e+00	2.3427e-01	2.7971e+00	0.0000e+00
1.3586e+00	2.3377e-01	2.8175e+00	0.0000e+00
1.3614e+00	2.3349e-01	2.8372e+00	0.0000e+00
1.3616e+00	2.3357e-01	2.8549e+00	0.0000e+00
1.3573e+00	2.3456e-01	2.8730e+00	0.0000e+00
1.3486e+00	2.3631e-01	2.8964e+00	0.0000e+00
1.3372e+00	2.3796e-01	2.9278e+00	0.0000e+00
1.3252e+00	2.3939e-01	2.9657e+00	0.0000e+00
1.3145e+00	2.4043e-01	3.0146e+00	0.0000e+00
1.3060e+00	2.4100e-01	3.0498e+00	0.0000e+00
1.2983e+00	2.4138e-01	3.0760e+00	0.0000e+00
1.2891e+00	2.4203e-01	3.0972e+00	0.0000e+00
1.2797e+00	2.4307e-01	3.1036e+00	0.0000e+00
1.2717e+00	2.4423e-01	3.1017e+00	0.0000e+00
1.2654e+00	2.4479e-01	3.0928e+00	0.0000e+00
1.2609e+00	2.4458e-01	3.0789e+00	0.0000e+00
1.2582e+00	2.4429e-01	3.0619e+00	0.0000e+00
1.2589e+00	2.4406e-01	3.0438e+00	0.0000e+00
1.2637e+00	2.4390e-01	3.0259e+00	0.0000e+00
1.2711e+00	2.4374e-01	3.0094e+00	0.0000e+00
1.2765e+00	2.4364e-01	2.9948e+00	0.0000e+00
1.2767e+00	2.4390e-01	2.9824e+00	0.0000e+00
1.2743e+00	2.4446e-01	2.9720e+00	0.0000e+00
1.2738e+00	2.4495e-01	2.9630e+00	0.0000e+00
1.2763e+00	2.4535e-01	2.9554e+00	0.0000e+00
1.2811e+00	2.4569e-01	2.9488e+00	0.0000e+00
1.2862e+00	2.4606e-01	2.9427e+00	0.0000e+00
1.2902e+00	2.4655e-01	2.9374e+00	0.0000e+00
1.2960e+00	2.4639e-01	2.9326e+00	0.0000e+00
1.3085e+00	2.4541e-01	2.9283e+00	0.0000e+00
1.3273e+00	2.4380e-01	2.9237e+00	0.0000e+00
1.3493e+00	2.4201e-01	2.9195e+00	0.0000e+00
1.3690e+00	2.4070e-01	2.9173e+00	0.0000e+00
1.3811e+00	2.4003e-01	2.9147e+00	0.0000e+00
1.3836e+00	2.3983e-01	2.9119e+00	0.0000e+00
1.3790e+00	2.4009e-01	2.9104e+00	0.0000e+00
1.3721e+00	2.4073e-01	2.9096e+00	0.0000e+00
1.3676e+00	2.4128e-01	2.9098e+00	0.0000e+00
1.3685e+00	2.4086e-01	2.9110e+00	0.0000e+00
1.3709e+00	2.4040e-01	2.9128e+00	0.0000e+00
1.3737e+00	2.3998e-01	2.9148e+00	0.0000e+00
1.3775e+00	2.3934e-01	2.9166e+00	0.0000e+00
1.3827e+00	2.3825e-01	2.9180e+00	0.0000e+00
1.3880e+00	2.3739e-01	2.9187e+00	0.0000e+00
1.3920e+00	2.3719e-01	2.9186e+00	0.0000e+00
1.3942e+00	2.3767e-01	2.9180e+00	0.0000e+00
1.3948e+00	2.3840e-01	2.9169e+00	0.0000e+00
1.3955e+00	2.3901e-01	2.9156e+00	0.0000e+00
1.3976e+00	2.3931e-01	2.9143e+00	0.0000e+00
1.4053e+00	2.3858e-01	2.9131e+00	0.0000e+00
1.4159e+00	2.3701e-01	2.9119e+00	0.0000e+00
1.4279e+00	2.3547e-01	2.9108e+00	0.0000e+00
1.4395e+00	2.3418e-01	2.9098e+00	0.0000e+00
1.4480e+00	2.3322e-01	2.9088e+00	0.0000e+00
1.4520e+00	2.3248e-01	2.9078e+00	0.0000e+00
1.4529e+00	2.3189e-01	2.9066e+00	0.0000e+00
1.4538e+00	2.3128e-01	2.9052e+00	0.0000e+00
1.4561e+00	2.3066e-01	2.9038e+00	0.0000e+00
1.4586e+00	2.3023e-01	2.9029e+00	0.0000e+00
1.4600e+00	2.3010e-01	2.9029e+00	0.0000e+00
1.4597e+00	2.3033e-01	2.9055e+00	0.0000e+00
1.4583e+00	2.3077e-01	2.9123e+00	0.0000e+00
1.4583e+00	2.3100e-01	2.9241e+00	0.0000e+00
1.4614e+00	2.3087e-01	2.9403e+00	0.0000e+00
1.4683e+00	2.3037e-01	2.9594e+00	0.0000e+00
1.4771e+00	2.2960e-01	2.9809e+00	0.0000e+00
1.4856e+00	2.2862e-01	3.0046e+00	0.0000e+00
1.4917e+00	2.2764e-01	3.0292e+00	0.0000e+00
1.4948e+00	2.2713e-01	3.0520e+00	0.0000e+00
1.4973e+00	2.2735e-01	3.0701e+00	0.0000e+00
1.4998e+00	2.2834e-01	3.0814e+00	0.0000e+00
1.5022e+00	2.2986e-01	3.0847e+00	0.0000e+00
1.5052e+00	2.3111e-01	3.0806e+00	0.0000e+00
1.5092e+00	2.3181e-01	3.0748e+00	0.0000e+00
1.5143e+00	2.3179e-01	3.0676e+00	0.0000e+00
1.5206e+00	2.3139e-01	3.0606e+00	0.0000e+00
1.5269e+00	2.3110e-01	3.0552e+00	0.0000e+00
1.5297e+00	2.3145e-01	3.0527e+00	0.0000e+00
1.5272e+00	2.3205e-01	3.0528e+00	0.0000e+00
1.5193e+00	2.3271e-01	3.0537e+00	0.0000e+00
1.5072e+00	2.3341e-01	3.0380e+00	0.0000e+00
1.4948e+00	2.3401e-01	2.9904e+00	0.0000e+00
1.4851e+00	2.3429e-01	2.9406e+00	0.0000e+00
1.4789e+00	2.3423e-01	2.9097e+00	0.0000e+00
1.4748e+00	2.3447e-01	2.9042e+00	0.0000e+00
1.4730e+00	2.3471e-01	2.9226e+00	0.0000e+00
1.4737e+00	2.3464e-01	2.9554e+00	0.0000e+00
1.4741e+00	2.3472e-01	3.0030e+00	0.0000e+00
1.4729e+00	2.3491e-01	3.0410e+00	0.0000e+00
1.4705e+00	2.3509e-01	3.0653e+00	0.0000e+00
1.4690e+00	2.3503e-01	3.0888e+00	0.0000e+00
1.4677e+00	2.3509e-01	3.1014e+00	0.0000e+00
1.4652e+00	2.3540e-01	3.1047e+00	0.0000e+00
1.4616e+00	2.3587e-01	3.1008e+00	0.0000e+00
1.4577e+00	2.3639e-01	3.0910e+00	0.0000e+00
1.4548e+00	2.3685e-01	3.0803e+00	0.0000e+00
1.4538e+00	2.3721e-01	3.0688e+00	0.0000e+00
1.4548e+00	2.3745e-01	3.0575e+00	0.0000e+00
1.4561e+00	2.3755e-01	3.0471e+00	0.0000e+00
1.4588e+00	2.3732e-01	3.0387e+00	0.0000e+00
1.4617e+00	2.3687e-01	3.0325e+00	0.0000e+00
1.4640e+00	2.3635e-01	3.0285e+00	0.0000e+00
1.4665e+00	2.3599e-01	3.0263e+00	0.0000e+00
1.4720e+00	2.3555e-01	3.0254e+00	0.0000e+00
1.4802e+00	2.3495e-01	3.0249e+00	0.0000e+00
1.4893e+00	2.3430e-01	3.0241e+00	0.0000e+00
1.4977e+00	2.3359e-01	3.0226e+00	0.0000e+00
1.5045e+00	2.3280e-01	3.0205e+00	0.0000e+00
1.5102e+00	2.3192e-01	3.0176e+00	0.0000e+00
1.5160e+00	2.3116e-01	3.0143e+00	0.0000e+00
1.5225e+00	2.3040e-01	3.0108e+00	0.0000e+00
1.5290e+00	2.2924e-01	3.0072e+00	0.0000e+00
1.5362e+00	2.2781e-01	3.0031e+00	0.0000e+00
1.5457e+00	2.2630e-01	2.9993e+00	0.0000e+00
1.5581e+00	2.2487e-01	2.9969e+00	0.0000e+00
1.5707e+00	2.2377e-01	2.9951e+00	0.0000e+00
1.5794e+00	2.2317e-01	2.9938e+00	0.0000e+00
1.5818e+00	2.2316e-01	2.9930e+00	0.0000e+00
1.5787e+00	2.2376e-01	2.9927e+00	0.0000e+00
1.5729e+00	2.2461e-01	2.9931e+00	0.0000e+00
1.5677e+00	2.2528e-01	2.9939e+00	0.0000e+00
1.5634e+00	2.2565e-01	2.9949e+00	0.0000e+00
1.5583e+00	2.2593e-01	2.9963e+00	0.0000e+00
1.5519e+00	2.2648e-01	2.9978e+00	0.0000e+00
