WL	EN	AR	Marker
1.2280e+00	1.8337e-01	9.5611e-01	0.0000e+00
1.2377e+00	1.8309e-01	9.5532e-01	0.0000e+00
1.2504e+00	1.8223e-01	9.5473e-01	0.0000e+00
1.2609e+00	1.8121e-01	9.5421e-01	0.0000e+00
1.2683e+00	1.8045e-01	9.5371e-01	0.0000e+00
1.2775e+00	1.7983e-01	9.5346e-01	0.0000e+00
1.2905e+00	1.7925e-01	9.5317e-01	0.0000e+00
1.3050e+00	1.7873e-01	9.5051e-01	0.0000e+00
1.3180e+00	1.7817e-01	9.4636e-01	0.0000e+00
1.3285e+00	1.7744e-01	9.4354e-01	0.0000e+00
1.3413e+00	1.7679e-01	9.4183e-01	0.0000e+00
1.3562e+00	1.7644e-01	9.4102e-01	0.0000e+00
1.3694e+00	1.7619e-01	9.4081e-01	0.0000e+00
1.3783e+00	1.7594e-01	9.4107e-01	0.0000e+00
1.3829e+00	1.7569e-01	9.4170e-01	0.0000e+00
1.3894e+00	1.7539e-01	9.4256e-01	0.0000e+00
1.3991e+00	1.7484e-01	9.4348e-01	0.0000e+00
1.4091e+00	1.7378e-01	9.4437e-01	0.0000e+00
1.4151e+00	1.7285e-01	9.4524e-01	0.0000e+00
1.4167e+00	1.7232e-01	9.4607e-01	0.0000e+00
1.4168e+00	1.7204e-01	9.4686e-01	0.0000e+00
1.4170e+00	1.7193e-01	9.4765e-01	0.0000e+00
1.4172e+00	1.7193e-01	9.4843e-01	0.0000e+00
1.4169e+00	1.7198e-01	9.4925e-01	0.0000e+00
1.4162e+00	1.7208e-01	9.5019e-01	0.0000e+00
1.4159e+00	1.7223e-01	9.5140e-01	0.0000e+00
1.4167e+00	1.7220e-01	9.5224e-01	0.0000e+00
1.4177e+00	1.7217e-01	9.5289e-01	0.0000e+00
1.4183e+00	1.7244e-01	9.5345e-01	0.0000e+00
1.4156e+00	1.7312e-01	9.5377e-01	0.0000e+00
1.4087e+00	1.7373e-01	9.5402e-01	0.0000e+00
1.4002e+00	1.7423e-01	9.5418e-01	0.0000e+00
1.3921e+00	1.7470e-01	9.5427e-01	0.0000e+00
1.3860e+00	1.7509e-01	9.5433e-01	0.0000e+00
1.3820e+00	1.7533e-01	9.5441e-01	0.0000e+00
1.3767e+00	1.7555e-01	9.5454e-01	0.0000e+00
1.3682e+00	1.7601e-01	9.5466e-01	0.0000e+00
1.3616e+00	1.7594e-01	9.5470e-01	0.0000e+00
1.3616e+00	1.7558e-01	9.5466e-01	0.0000e+00
1.3682e+00	1.7508e-01	9.5462e-01	0.0000e+00
1.3785e+00	1.7447e-01	9.5460e-01	0.0000e+00
1.3884e+00	1.7379e-01	9.5463e-01	0.0000e+00
1.3950e+00	1.7323e-01	9.5469e-01	0.0000e+00
1.3998e+00	1.7292e-01	9.5474e-01	0.0000e+00
1.4074e+00	1.7264e-01	9.5476e-01	0.0000e+00
1.4185e+00	1.7237e-01	9.5480e-01	0.0000e+00
1.4304e+00	1.7218e-01	9.5492e-01	0.0000e+00
1.4376e+00	1.7221e-01	9.5507e-01	0.0000e+00
1.4373e+00	1.7241e-01	9.5497e-01	0.0000e+00
1.4298e+00	1.7282e-01	9.5482e-01	0.0000e+00
1.4181e+00	1.7360e-01	9.5476e-01	0.0000e+00
1.4066e+00	1.7469e-01	9.5469e-01	0.0000e+00
1.3986e+00	1.7552e-01	9.5451e-01	0.0000e+00
1.3945e+00	1.7601e-01	9.5418e-01	0.0000e+00
1.3939e+00	1.7611e-01	9.5388e-01	0.0000e+00
1.3945e+00	1.7608e-01	9.5377e-01	0.0000e+00
1.3960e+00	1.7583e-01	9.5397e-01	0.0000e+00
1.3978e+00	1.7536e-01	9.5462e-01	0.0000e+00
1.3989e+00	1.7491e-01	9.5577e-01	0.0000e+00
1.3995e+00	1.7451e-01	9.5726e-01	0.0000e+00
1.3998e+00	1.7431e-01	9.5906e-01	0.0000e+00
1.3994e+00	1.7459e-01	9.6113e-01	0.0000e+00
1.3987e+00	1.7499e-01	9.6334e-01	0.0000e+00
1.4004e+00	1.7492e-01	9.6544e-01	0.0000e+00
1.4070e+00	1.7442e-01	9.6725e-01	0.0000e+00
1.4180e+00	1.7363e-01	9.6870e-01	0.0000e+00
1.4311e+00	1.7254e-01	9.6980e-01	0.0000e+00
1.4429e+00	1.7138e-01	9.7070e-01	0.0000e+00
1.4514e+00	1.7054e-01	9.7110e-01	0.0000e+00
1.4564e+00	1.7003e-01	9.7114e-01	0.0000e+00
1.4588e+00	1.6970e-01	9.7108e-01	0.0000e+00
1.4605e+00	1.6927e-01	9.7099e-01	0.0000e+00
1.4606e+00	1.6883e-01	9.7087e-01	0.0000e+00
1.4573e+00	1.6858e-01	9.7063e-01	0.0000e+00
