WL	EN	AR	Marker
2.0325e+00	1.8550e-01	1.8558e+00	0.0000e+00
1.9991e+00	1.8710e-01	1.8559e+00	0.0000e+00
1.9591e+00	1.8994e-01	1.8561e+00	0.0000e+00
1.9294e+00	1.9319e-01	1.8566e+00	0.0000e+00
1.9154e+00	1.9565e-01	1.8583e+00	0.0000e+00
1.9131e+00	1.9703e-01	1.8617e+00	0.0000e+00
1.9183e+00	1.9785e-01	1.8651e+00	0.0000e+00
1.9251e+00	1.9854e-01	1.8676e+00	0.0000e+00
1.9316e+00	1.9900e-01	1.8694e+00	0.0000e+00
1.9361e+00	1.9976e-01	1.8724e+00	0.0000e+00
1.9368e+00	2.0129e-01	1.8758e+00	0.0000e+00
1.9362e+00	2.0294e-01	1.8804e+00	0.0000e+00
1.9351e+00	2.0268e-01	1.8855e+00	0.0000e+00
1.9500e+00	2.0188e-01	1.8881e+00	0.0000e+00
1.9751e+00	2.0079e-01	1.8875e+00	0.0000e+00
2.0013e+00	1.9955e-01	1.8859e+00	0.0000e+00
2.0195e+00	1.9829e-01	1.8830e+00	0.0000e+00
2.0237e+00	1.9739e-01	1.8802e+00	0.0000e+00
2.0142e+00	1.9739e-01	1.8768e+00	0.0000e+00
2.0009e+00	1.9755e-01	1.8743e+00	0.0000e+00
1.9865e+00	1.9759e-01	1.8717e+00	0.0000e+00
1.9728e+00	1.9752e-01	1.8693e+00	0.0000e+00
1.9622e+00	1.9741e-01	1.8670e+00	0.0000e+00
1.9543e+00	1.9730e-01	1.8652e+00	0.0000e+00
1.9464e+00	1.9742e-01	1.8636e+00	0.0000e+00
1.9374e+00	1.9791e-01	1.8616e+00	0.0000e+00
1.9277e+00	1.9859e-01	1.8595e+00	0.0000e+00
1.9173e+00	1.9927e-01	1.8568e+00	0.0000e+00
1.9054e+00	1.9983e-01	1.8545e+00	0.0000e+00
1.8920e+00	2.0027e-01	1.8527e+00	0.0000e+00
1.8984e+00	1.9920e-01	1.8514e+00	0.0000e+00
1.9195e+00	1.9754e-01	1.8500e+00	0.0000e+00
1.9530e+00	1.9573e-01	1.8493e+00	0.0000e+00
1.9913e+00	1.9404e-01	1.8485e+00	0.0000e+00
2.0263e+00	1.9240e-01	1.8483e+00	0.0000e+00
2.0506e+00	1.9103e-01	1.8473e+00	0.0000e+00
2.0524e+00	1.9078e-01	1.8463e+00	0.0000e+00
2.0291e+00	1.9118e-01	1.8437e+00	0.0000e+00
2.0143e+00	1.9100e-01	1.8411e+00	0.0000e+00
1.9999e+00	1.9084e-01	1.8382e+00	0.0000e+00
1.9847e+00	1.9105e-01	1.8364e+00	0.0000e+00
1.9681e+00	1.9185e-01	1.8351e+00	0.0000e+00
1.9508e+00	1.9312e-01	1.8341e+00	0.0000e+00
1.9342e+00	1.9489e-01	1.8326e+00	0.0000e+00
1.9256e+00	1.9495e-01	1.8311e+00	0.0000e+00
1.9305e+00	1.9424e-01	1.8295e+00	0.0000e+00
1.9474e+00	1.9325e-01	1.8280e+00	0.0000e+00
1.9701e+00	1.9213e-01	1.8263e+00	0.0000e+00
1.9903e+00	1.9095e-01	1.8243e+00	0.0000e+00
2.0011e+00	1.8980e-01	1.8226e+00	0.0000e+00
1.9995e+00	1.8893e-01	1.8207e+00	0.0000e+00
1.9887e+00	1.8891e-01	1.8191e+00	0.0000e+00
1.9761e+00	1.8944e-01	1.8182e+00	0.0000e+00
1.9636e+00	1.9012e-01	1.8172e+00	0.0000e+00
1.9511e+00	1.9097e-01	1.8155e+00	0.0000e+00
1.9457e+00	1.9093e-01	1.8130e+00	0.0000e+00
1.9523e+00	1.9029e-01	1.8104e+00	0.0000e+00
1.9692e+00	1.8949e-01	1.8086e+00	0.0000e+00
1.9904e+00	1.8864e-01	1.8076e+00	0.0000e+00
2.0082e+00	1.8779e-01	1.8078e+00	0.0000e+00
2.0162e+00	1.8700e-01	1.8082e+00	0.0000e+00
2.0127e+00	1.8643e-01	1.8089e+00	0.0000e+00
2.0034e+00	1.8634e-01	1.8087e+00	0.0000e+00
1.9942e+00	1.8635e-01	1.8093e+00	0.0000e+00
1.9847e+00	1.8647e-01	1.8101e+00	0.0000e+00
1.9742e+00	1.8677e-01	1.8111e+00	0.0000e+00
1.9628e+00	1.8728e-01	1.8099e+00	1.0000e+00
1.9505e+00	1.8794e-01	1.8081e+00	0.0000e+00
1.9388e+00	1.8807e-01	1.8055e+00	0.0000e+00
1.9292e+00	1.8811e-01	1.8032e+00	0.0000e+00
1.9212e+00	1.8822e-01	1.8015e+00	0.0000e+00
1.9055e+00	1.8869e-01	1.8003e+00	0.0000e+00
1.8792e+00	1.8937e-01	1.7991e+00	0.0000e+00
1.8458e+00	1.9007e-01	1.7982e+00	0.0000e+00
1.8116e+00	1.9075e-01	1.7986e+00	0.0000e+00
1.8118e+00	1.9041e-01	1.7997e+00	0.0000e+00
1.8193e+00	1.8999e-01	1.8008e+00	0.0000e+00
1.8343e+00	1.8956e-01	1.8030e+00	0.0000e+00
1.8528e+00	1.8915e-01	1.8063e+00	0.0000e+00
1.8685e+00	1.8879e-01	1.8097e+00	0.0000e+00
1.8762e+00	1.8853e-01	1.8119e+00	0.0000e+00
1.8741e+00	1.8850e-01	1.8133e+00	0.0000e+00
1.8653e+00	1.8881e-01	1.8140e+00	0.0000e+00
1.8548e+00	1.8944e-01	1.8116e+00	0.0000e+00
1.8441e+00	1.9040e-01	1.8073e+00	0.0000e+00
1.8333e+00	1.9156e-01	1.8019e+00	0.0000e+00
1.8222e+00	1.9270e-01	1.7986e+00	0.0000e+00
1.8115e+00	1.9353e-01	1.7976e+00	0.0000e+00
1.8012e+00	1.9423e-01	1.7970e+00	0.0000e+00
1.7909e+00	1.9495e-01	1.7946e+00	0.0000e+00
1.7803e+00	1.9592e-01	1.7909e+00	0.0000e+00
1.7690e+00	1.9723e-01	1.7868e+00	0.0000e+00
1.7622e+00	1.9838e-01	1.7851e+00	0.0000e+00
1.7557e+00	1.9921e-01	1.7851e+00	0.0000e+00
1.7474e+00	1.9922e-01	1.7860e+00	0.0000e+00
1.7403e+00	1.9880e-01	1.7868e+00	0.0000e+00
