WL	EN	AR	Marker
1.8336e+00	1.7067e-01	9.0325e-01	0.0000e+00
1.8465e+00	1.7002e-01	9.0213e-01	0.0000e+00
1.8574e+00	1.6917e-01	9.0153e-01	0.0000e+00
1.8677e+00	1.6818e-01	9.0124e-01	0.0000e+00
1.8782e+00	1.6714e-01	9.0091e-01	0.0000e+00
1.8873e+00	1.6602e-01	9.0026e-01	0.0000e+00
1.8944e+00	1.6475e-01	8.9936e-01	0.0000e+00
1.9018e+00	1.6311e-01	8.9840e-01	0.0000e+00
1.9118e+00	1.6111e-01	8.9722e-01	0.0000e+00
1.9210e+00	1.6030e-01	8.9620e-01	0.0000e+00
1.9268e+00	1.5989e-01	8.9559e-01	0.0000e+00
1.9298e+00	1.5951e-01	8.9507e-01	0.0000e+00
1.9329e+00	1.5907e-01	8.9432e-01	0.0000e+00
1.9368e+00	1.5864e-01	8.9323e-01	0.0000e+00
1.9408e+00	1.5821e-01	8.9182e-01	0.0000e+00
1.9415e+00	1.5797e-01	8.9021e-01	0.0000e+00
1.9373e+00	1.5803e-01	8.8854e-01	0.0000e+00
1.9291e+00	1.5836e-01	8.8676e-01	0.0000e+00
1.9213e+00	1.5852e-01	8.8491e-01	0.0000e+00
1.9172e+00	1.5843e-01	8.8309e-01	0.0000e+00
1.9165e+00	1.5836e-01	8.8171e-01	0.0000e+00
1.9172e+00	1.5844e-01	8.8124e-01	0.0000e+00
1.9133e+00	1.5884e-01	8.8143e-01	0.0000e+00
1.9047e+00	1.5944e-01	8.8174e-01	0.0000e+00
1.8966e+00	1.6002e-01	8.8175e-01	0.0000e+00
1.8945e+00	1.6033e-01	8.8136e-01	0.0000e+00
1.8979e+00	1.6037e-01	8.8074e-01	0.0000e+00
1.9020e+00	1.6017e-01	8.7992e-01	0.0000e+00
1.9025e+00	1.6011e-01	8.7891e-01	0.0000e+00
1.9014e+00	1.6018e-01	8.7774e-01	0.0000e+00
1.9007e+00	1.6038e-01	8.7623e-01	0.0000e+00
1.9019e+00	1.6066e-01	8.7478e-01	0.0000e+00
1.9065e+00	1.6083e-01	8.7380e-01	0.0000e+00
1.9148e+00	1.6065e-01	8.7304e-01	0.0000e+00
1.9234e+00	1.6053e-01	8.7264e-01	0.0000e+00
1.9294e+00	1.6065e-01	8.7243e-01	0.0000e+00
1.9320e+00	1.6107e-01	8.7207e-01	0.0000e+00
1.9307e+00	1.6204e-01	8.7127e-01	0.0000e+00
1.9287e+00	1.6350e-01	8.7017e-01	0.0000e+00
1.9303e+00	1.6477e-01	8.6899e-01	0.0000e+00
1.9364e+00	1.6552e-01	8.6796e-01	0.0000e+00
1.9421e+00	1.6591e-01	8.6752e-01	0.0000e+00
1.9449e+00	1.6597e-01	8.6802e-01	0.0000e+00
1.9453e+00	1.6564e-01	8.6986e-01	0.0000e+00
1.9481e+00	1.6496e-01	8.7258e-01	0.0000e+00
1.9544e+00	1.6427e-01	8.7586e-01	0.0000e+00
1.9647e+00	1.6365e-01	8.7877e-01	0.0000e+00
1.9783e+00	1.6309e-01	8.8099e-01	0.0000e+00
1.9933e+00	1.6248e-01	8.8159e-01	0.0000e+00
