WL	EN	AR	Marker
2.1785e+00	1.8770e-01	3.3648e+00	0.0000e+00
2.1897e+00	1.8753e-01	3.3616e+00	0.0000e+00
2.1957e+00	1.8764e-01	3.3529e+00	0.0000e+00
2.2012e+00	1.8803e-01	3.3372e+00	0.0000e+00
2.2107e+00	1.8843e-01	3.3212e+00	0.0000e+00
2.2255e+00	1.8852e-01	3.3031e+00	0.0000e+00
2.2460e+00	1.8826e-01	3.2838e+00	0.0000e+00
2.2633e+00	1.8819e-01	3.2645e+00	0.0000e+00
2.2598e+00	1.8909e-01	3.2457e+00	0.0000e+00
2.2431e+00	1.9061e-01	3.2280e+00	0.0000e+00
2.2177e+00	1.9225e-01	3.2115e+00	0.0000e+00
2.1877e+00	1.9390e-01	3.1967e+00	0.0000e+00
2.1575e+00	1.9561e-01	3.1838e+00	0.0000e+00
2.1306e+00	1.9745e-01	3.1722e+00	0.0000e+00
2.1056e+00	1.9957e-01	3.1614e+00	0.0000e+00
2.0894e+00	2.0175e-01	3.1510e+00	0.0000e+00
2.0884e+00	2.0344e-01	3.1414e+00	0.0000e+00
2.1010e+00	2.0400e-01	3.1328e+00	0.0000e+00
2.1151e+00	2.0405e-01	3.1257e+00	0.0000e+00
2.1257e+00	2.0392e-01	3.1210e+00	0.0000e+00
2.1257e+00	2.0392e-01	3.1197e+00	0.0000e+00
2.1257e+00	2.0392e-01	3.1216e+00	0.0000e+00
2.1257e+00	2.0392e-01	3.1259e+00	0.0000e+00
2.1257e+00	2.0392e-01	3.1328e+00	0.0000e+00
2.1257e+00	2.0392e-01	3.1396e+00	0.0000e+00
2.1257e+00	2.0392e-01	3.1442e+00	0.0000e+00
2.1257e+00	2.0392e-01	3.1475e+00	0.0000e+00
2.1257e+00	2.0392e-01	3.1494e+00	0.0000e+00
2.1257e+00	2.0392e-01	3.1497e+00	0.0000e+00
2.1257e+00	2.0392e-01	3.1478e+00	0.0000e+00
2.1373e+00	2.0296e-01	3.1436e+00	0.0000e+00
2.1413e+00	2.0211e-01	3.1378e+00	0.0000e+00
2.1407e+00	2.0143e-01	3.1315e+00	0.0000e+00
2.1419e+00	2.0107e-01	3.1249e+00	0.0000e+00
2.1486e+00	2.0120e-01	3.1186e+00	0.0000e+00
2.1641e+00	2.0126e-01	3.1126e+00	0.0000e+00
2.1845e+00	2.0127e-01	3.1073e+00	0.0000e+00
2.1845e+00	2.0127e-01	3.1025e+00	0.0000e+00
2.1845e+00	2.0127e-01	3.0984e+00	0.0000e+00
2.1845e+00	2.0127e-01	3.0960e+00	0.0000e+00
2.1554e+00	2.0321e-01	3.0977e+00	0.0000e+00
2.1304e+00	2.0556e-01	3.1065e+00	0.0000e+00
2.1149e+00	2.0753e-01	3.1246e+00	0.0000e+00
2.1039e+00	2.0935e-01	3.1592e+00	0.0000e+00
2.0917e+00	2.1087e-01	3.1989e+00	0.0000e+00
2.0757e+00	2.1163e-01	3.2291e+00	0.0000e+00
2.0571e+00	2.1154e-01	3.2542e+00	0.0000e+00
2.0376e+00	2.1101e-01	3.2690e+00	0.0000e+00
2.0188e+00	2.1083e-01	3.2823e+00	0.0000e+00
2.0045e+00	2.1120e-01	3.2926e+00	0.0000e+00
1.9983e+00	2.1098e-01	3.2968e+00	0.0000e+00
1.9961e+00	2.1019e-01	3.2980e+00	0.0000e+00
1.9923e+00	2.0907e-01	3.2958e+00	0.0000e+00
1.9823e+00	2.0784e-01	3.2888e+00	0.0000e+00
1.9652e+00	2.0694e-01	3.2792e+00	0.0000e+00
1.9442e+00	2.0668e-01	3.2702e+00	0.0000e+00
1.9221e+00	2.0664e-01	3.2617e+00	0.0000e+00
1.8994e+00	2.0680e-01	3.2541e+00	0.0000e+00
1.8769e+00	2.0747e-01	3.2486e+00	0.0000e+00
1.8567e+00	2.0833e-01	3.2457e+00	0.0000e+00
1.8399e+00	2.0905e-01	3.2449e+00	0.0000e+00
1.8249e+00	2.0975e-01	3.2452e+00	0.0000e+00
1.7830e+00	2.1200e-01	3.2465e+00	0.0000e+00
1.7500e+00	2.1386e-01	3.2475e+00	0.0000e+00
1.7317e+00	2.1527e-01	3.2472e+00	0.0000e+00
1.7363e+00	2.1580e-01	3.2448e+00	0.0000e+00
1.7393e+00	2.1635e-01	3.2414e+00	0.0000e+00
1.7373e+00	2.1686e-01	3.2374e+00	0.0000e+00
1.7292e+00	2.1716e-01	3.2327e+00	0.0000e+00
1.7164e+00	2.1721e-01	3.2277e+00	0.0000e+00
1.7013e+00	2.1729e-01	3.2233e+00	0.0000e+00
1.6854e+00	2.1743e-01	3.2199e+00	0.0000e+00
1.6699e+00	2.1778e-01	3.2174e+00	0.0000e+00
1.6579e+00	2.1767e-01	3.2156e+00	0.0000e+00
1.6512e+00	2.1700e-01	3.2141e+00	0.0000e+00
1.6484e+00	2.1614e-01	3.2128e+00	0.0000e+00
1.6464e+00	2.1532e-01	3.2116e+00	0.0000e+00
1.6440e+00	2.1461e-01	3.2112e+00	0.0000e+00
1.6407e+00	2.1408e-01	3.2128e+00	0.0000e+00
1.6385e+00	2.1357e-01	3.2173e+00	0.0000e+00
1.6361e+00	2.1323e-01	3.2242e+00	0.0000e+00
1.6407e+00	2.1236e-01	3.2324e+00	0.0000e+00
1.6510e+00	2.1053e-01	3.2403e+00	0.0000e+00
1.6640e+00	2.0786e-01	3.2467e+00	0.0000e+00
1.6736e+00	2.0552e-01	3.2508e+00	0.0000e+00
1.6789e+00	2.0393e-01	3.2524e+00	0.0000e+00
1.6809e+00	2.0297e-01	3.2511e+00	0.0000e+00
1.6790e+00	2.0257e-01	3.2474e+00	0.0000e+00
1.6738e+00	2.0272e-01	3.2433e+00	0.0000e+00
1.6666e+00	2.0321e-01	3.2390e+00	0.0000e+00
1.6570e+00	2.0324e-01	3.2352e+00	0.0000e+00
1.6417e+00	2.0306e-01	3.2325e+00	0.0000e+00
1.6226e+00	2.0273e-01	3.2317e+00	0.0000e+00
1.6062e+00	2.0251e-01	3.2342e+00	0.0000e+00
1.5958e+00	2.0257e-01	3.2388e+00	0.0000e+00
1.5921e+00	2.0295e-01	3.2442e+00	0.0000e+00
1.5900e+00	2.0344e-01	3.2494e+00	0.0000e+00
1.5855e+00	2.0404e-01	3.2537e+00	0.0000e+00
1.5797e+00	2.0447e-01	3.2565e+00	0.0000e+00
1.5774e+00	2.0411e-01	3.2587e+00	0.0000e+00
1.5758e+00	2.0361e-01	3.2621e+00	0.0000e+00
1.5679e+00	2.0341e-01	3.2660e+00	0.0000e+00
1.5485e+00	2.0365e-01	3.2694e+00	0.0000e+00
1.5174e+00	2.0438e-01	3.2716e+00	0.0000e+00
1.4831e+00	2.0524e-01	3.2731e+00	0.0000e+00
1.4789e+00	2.0441e-01	3.2734e+00	0.0000e+00
1.4765e+00	2.0350e-01	3.2736e+00	0.0000e+00
1.4732e+00	2.0276e-01	3.2734e+00	0.0000e+00
1.4671e+00	2.0239e-01	3.2727e+00	0.0000e+00
1.4577e+00	2.0256e-01	3.2716e+00	0.0000e+00
1.4481e+00	2.0273e-01	3.2706e+00	0.0000e+00
1.4429e+00	2.0241e-01	3.2699e+00	0.0000e+00
1.4415e+00	2.0193e-01	3.2704e+00	0.0000e+00
1.4420e+00	2.0139e-01	3.2743e+00	0.0000e+00
1.4428e+00	2.0079e-01	3.2840e+00	0.0000e+00
1.4425e+00	2.0032e-01	3.3009e+00	0.0000e+00
1.4406e+00	2.0009e-01	3.3235e+00	0.0000e+00
1.4385e+00	2.0000e-01	3.3494e+00	0.0000e+00
1.4364e+00	2.0003e-01	3.3752e+00	0.0000e+00
1.4328e+00	2.0012e-01	3.3983e+00	0.0000e+00
1.4282e+00	2.0007e-01	3.4169e+00	0.0000e+00
1.4246e+00	1.9983e-01	3.4309e+00	0.0000e+00
1.4212e+00	1.9947e-01	3.4409e+00	0.0000e+00
1.4169e+00	1.9918e-01	3.4476e+00	0.0000e+00
1.4120e+00	1.9901e-01	3.4519e+00	0.0000e+00
1.4017e+00	1.9883e-01	3.4540e+00	0.0000e+00
