WL	EN	AR	Marker
1.5959e+00	2.1930e-01	1.2530e+00	0.0000e+00
1.6185e+00	2.1828e-01	1.2526e+00	0.0000e+00
1.6491e+00	2.1576e-01	1.2523e+00	0.0000e+00
1.6662e+00	2.1435e-01	1.2523e+00	0.0000e+00
1.6703e+00	2.1337e-01	1.2528e+00	0.0000e+00
1.6640e+00	2.1322e-01	1.2537e+00	0.0000e+00
1.6545e+00	2.1382e-01	1.2557e+00	0.0000e+00
1.6439e+00	2.1466e-01	1.2593e+00	0.0000e+00
1.6323e+00	2.1545e-01	1.2643e+00	0.0000e+00
1.6222e+00	2.1599e-01	1.2718e+00	0.0000e+00
1.6192e+00	2.1570e-01	1.2822e+00	0.0000e+00
1.6271e+00	2.1482e-01	1.2948e+00	0.0000e+00
1.6441e+00	2.1369e-01	1.3083e+00	0.0000e+00
1.6645e+00	2.1248e-01	1.3214e+00	0.0000e+00
1.6820e+00	2.1126e-01	1.3334e+00	0.0000e+00
1.6934e+00	2.1007e-01	1.3436e+00	0.0000e+00
1.7051e+00	2.0877e-01	1.3514e+00	0.0000e+00
1.7219e+00	2.0743e-01	1.3566e+00	0.0000e+00
1.7392e+00	2.0638e-01	1.3592e+00	0.0000e+00
1.7530e+00	2.0588e-01	1.3598e+00	0.0000e+00
1.7598e+00	2.0659e-01	1.3591e+00	0.0000e+00
1.7730e+00	2.0731e-01	1.3574e+00	0.0000e+00
1.7939e+00	2.0771e-01	1.3551e+00	0.0000e+00
1.8192e+00	2.0741e-01	1.3527e+00	0.0000e+00
1.8450e+00	2.0599e-01	1.3505e+00	0.0000e+00
1.8662e+00	2.0399e-01	1.3486e+00	0.0000e+00
1.8837e+00	2.0217e-01	1.3469e+00	0.0000e+00
1.8955e+00	2.0062e-01	1.3450e+00	0.0000e+00
1.8979e+00	1.9961e-01	1.3433e+00	0.0000e+00
1.8925e+00	1.9928e-01	1.3421e+00	0.0000e+00
1.8860e+00	1.9870e-01	1.3411e+00	0.0000e+00
1.8821e+00	1.9893e-01	1.3402e+00	0.0000e+00
1.8837e+00	1.9878e-01	1.3394e+00	0.0000e+00
1.8872e+00	1.9857e-01	1.3388e+00	0.0000e+00
1.8885e+00	1.9838e-01	1.3382e+00	0.0000e+00
1.8849e+00	1.9823e-01	1.3376e+00	0.0000e+00
