WL	EN	AR	Marker
2.3243e+00	2.2580e-01	2.1921e+00	0.0000e+00
2.3121e+00	2.2685e-01	2.1890e+00	0.0000e+00
2.3054e+00	2.2775e-01	2.1842e+00	0.0000e+00
2.3060e+00	2.2825e-01	2.1798e+00	0.0000e+00
2.3142e+00	2.2819e-01	2.1764e+00	0.0000e+00
2.3263e+00	2.2770e-01	2.1721e+00	0.0000e+00
2.3339e+00	2.2774e-01	2.1687e+00	0.0000e+00
2.3341e+00	2.2839e-01	2.1673e+00	0.0000e+00
2.3305e+00	2.2917e-01	2.1694e+00	0.0000e+00
2.3277e+00	2.2980e-01	2.1762e+00	0.0000e+00
2.3280e+00	2.3028e-01	2.1873e+00	0.0000e+00
2.3291e+00	2.3080e-01	2.2049e+00	0.0000e+00
2.3284e+00	2.3147e-01	2.2225e+00	0.0000e+00
2.3259e+00	2.3226e-01	2.2337e+00	0.0000e+00
2.3241e+00	2.3290e-01	2.2413e+00	0.0000e+00
2.3243e+00	2.3321e-01	2.2450e+00	0.0000e+00
2.3291e+00	2.3290e-01	2.2451e+00	0.0000e+00
2.3378e+00	2.3187e-01	2.2428e+00	0.0000e+00
2.3488e+00	2.3080e-01	2.2393e+00	0.0000e+00
2.3588e+00	2.3011e-01	2.2354e+00	0.0000e+00
2.3642e+00	2.2975e-01	2.2318e+00	0.0000e+00
2.3626e+00	2.2969e-01	2.2293e+00	0.0000e+00
2.3547e+00	2.3007e-01	2.2282e+00	0.0000e+00
2.3451e+00	2.3060e-01	2.2288e+00	0.0000e+00
2.3355e+00	2.3108e-01	2.2304e+00	0.0000e+00
2.3243e+00	2.3160e-01	2.2327e+00	0.0000e+00
2.3121e+00	2.3209e-01	2.2346e+00	0.0000e+00
2.2998e+00	2.3253e-01	2.2356e+00	0.0000e+00
2.2897e+00	2.3298e-01	2.2354e+00	0.0000e+00
2.2834e+00	2.3339e-01	2.2339e+00	0.0000e+00
2.2804e+00	2.3372e-01	2.2312e+00	0.0000e+00
2.2783e+00	2.3431e-01	2.2269e+00	0.0000e+00
2.2752e+00	2.3530e-01	2.2232e+00	0.0000e+00
2.2734e+00	2.3599e-01	2.2225e+00	0.0000e+00
2.2759e+00	2.3616e-01	2.2252e+00	0.0000e+00
2.2820e+00	2.3594e-01	2.2314e+00	0.0000e+00
2.2856e+00	2.3565e-01	2.2400e+00	0.0000e+00
2.2820e+00	2.3554e-01	2.2493e+00	0.0000e+00
2.2707e+00	2.3577e-01	2.2579e+00	0.0000e+00
2.2547e+00	2.3651e-01	2.2649e+00	0.0000e+00
2.2394e+00	2.3751e-01	2.2692e+00	0.0000e+00
2.2308e+00	2.3792e-01	2.2704e+00	0.0000e+00
2.2284e+00	2.3718e-01	2.2688e+00	0.0000e+00
2.2282e+00	2.3528e-01	2.2648e+00	0.0000e+00
2.2280e+00	2.3332e-01	2.2593e+00	0.0000e+00
