WL	EN	AR	Marker
1.6660e+00	2.7018e-01	1.1558e+00	0.0000e+00
1.6660e+00	2.7018e-01	1.1549e+00	0.0000e+00
1.6660e+00	2.7018e-01	1.1544e+00	0.0000e+00
1.6660e+00	2.7018e-01	1.1542e+00	0.0000e+00
1.6551e+00	2.7187e-01	1.1545e+00	0.0000e+00
1.6439e+00	2.7349e-01	1.1556e+00	0.0000e+00
1.6371e+00	2.7484e-01	1.1574e+00	0.0000e+00
1.6381e+00	2.7564e-01	1.1592e+00	0.0000e+00
1.6466e+00	2.7560e-01	1.1605e+00	0.0000e+00
1.6586e+00	2.7510e-01	1.1608e+00	0.0000e+00
1.6689e+00	2.7455e-01	1.1607e+00	0.0000e+00
1.6754e+00	2.7427e-01	1.1605e+00	0.0000e+00
1.6776e+00	2.7424e-01	1.1605e+00	0.0000e+00
1.6781e+00	2.7436e-01	1.1602e+00	0.0000e+00
1.6780e+00	2.7469e-01	1.1596e+00	0.0000e+00
1.6775e+00	2.7472e-01	1.1587e+00	0.0000e+00
1.6782e+00	2.7414e-01	1.1579e+00	0.0000e+00
1.6805e+00	2.7313e-01	1.1573e+00	0.0000e+00
1.6814e+00	2.7271e-01	1.1567e+00	0.0000e+00
1.6782e+00	2.7346e-01	1.1563e+00	0.0000e+00
1.6676e+00	2.7508e-01	1.1559e+00	0.0000e+00
1.6538e+00	2.7689e-01	1.1553e+00	0.0000e+00
1.6432e+00	2.7864e-01	1.1546e+00	0.0000e+00
1.6402e+00	2.8001e-01	1.1537e+00	0.0000e+00
1.6445e+00	2.8107e-01	1.1526e+00	0.0000e+00
1.6496e+00	2.8234e-01	1.1515e+00	0.0000e+00
1.6479e+00	2.8396e-01	1.1502e+00	0.0000e+00
1.6374e+00	2.8597e-01	1.1488e+00	0.0000e+00
1.6235e+00	2.8808e-01	1.1473e+00	0.0000e+00
1.6132e+00	2.9002e-01	1.1459e+00	0.0000e+00
1.6099e+00	2.9163e-01	1.1445e+00	0.0000e+00
1.6139e+00	2.9315e-01	1.1431e+00	0.0000e+00
1.6213e+00	2.9506e-01	1.1418e+00	0.0000e+00
1.6272e+00	2.9765e-01	1.1400e+00	0.0000e+00
1.6317e+00	3.0026e-01	1.1382e+00	0.0000e+00
1.6384e+00	3.0204e-01	1.1371e+00	0.0000e+00
1.6512e+00	3.0245e-01	1.1357e+00	0.0000e+00
1.6721e+00	3.0122e-01	1.1342e+00	0.0000e+00
1.6999e+00	2.9869e-01	1.1331e+00	0.0000e+00
1.7300e+00	2.9637e-01	1.1321e+00	0.0000e+00
1.7619e+00	2.9363e-01	1.1312e+00	0.0000e+00
1.7963e+00	2.9018e-01	1.1303e+00	0.0000e+00
1.8341e+00	2.8562e-01	1.1294e+00	0.0000e+00
1.8736e+00	2.8054e-01	1.1285e+00	0.0000e+00
1.9106e+00	2.7852e-01	1.1275e+00	0.0000e+00
1.9390e+00	2.7986e-01	1.1266e+00	0.0000e+00
1.9519e+00	2.8268e-01	1.1257e+00	0.0000e+00
1.9480e+00	2.8617e-01	1.1250e+00	0.0000e+00
1.9480e+00	2.8617e-01	1.1244e+00	0.0000e+00
1.9480e+00	2.8617e-01	1.1240e+00	0.0000e+00
1.9480e+00	2.8617e-01	1.1237e+00	0.0000e+00
1.9480e+00	2.8617e-01	1.1235e+00	0.0000e+00
1.9480e+00	2.8617e-01	1.1230e+00	0.0000e+00
1.9480e+00	2.8617e-01	1.1224e+00	0.0000e+00
1.9480e+00	2.8617e-01	1.1220e+00	0.0000e+00
1.9480e+00	2.8617e-01	1.1214e+00	0.0000e+00
1.9480e+00	2.8617e-01	1.1205e+00	0.0000e+00
1.9480e+00	2.8617e-01	1.1193e+00	0.0000e+00
1.9480e+00	2.8617e-01	1.1180e+00	0.0000e+00
1.9480e+00	2.8617e-01	1.1169e+00	0.0000e+00
1.9840e+00	2.8379e-01	1.1158e+00	0.0000e+00
2.0343e+00	2.8042e-01	1.1148e+00	0.0000e+00
2.0952e+00	2.7686e-01	1.1136e+00	0.0000e+00
2.0952e+00	2.7686e-01	1.1124e+00	0.0000e+00
2.0952e+00	2.7686e-01	1.1112e+00	0.0000e+00
2.0952e+00	2.7686e-01	1.1101e+00	0.0000e+00
2.0952e+00	2.7686e-01	1.1091e+00	0.0000e+00
2.0952e+00	2.7686e-01	1.1080e+00	0.0000e+00
2.0952e+00	2.7686e-01	1.1069e+00	0.0000e+00
2.0952e+00	2.7686e-01	1.1057e+00	0.0000e+00
2.0952e+00	2.7686e-01	1.1045e+00	0.0000e+00
2.0952e+00	2.7686e-01	1.1029e+00	0.0000e+00
2.0952e+00	2.7686e-01	1.1015e+00	0.0000e+00
2.0952e+00	2.7686e-01	1.1004e+00	0.0000e+00
2.0952e+00	2.7686e-01	1.0984e+00	0.0000e+00
2.0952e+00	2.7686e-01	1.0965e+00	0.0000e+00
2.0952e+00	2.7686e-01	1.0951e+00	0.0000e+00
2.0931e+00	2.7708e-01	1.0935e+00	0.0000e+00
2.0902e+00	2.7714e-01	1.0921e+00	0.0000e+00
2.0870e+00	2.7707e-01	1.0909e+00	0.0000e+00
2.0840e+00	2.7695e-01	1.0900e+00	0.0000e+00
2.0812e+00	2.7685e-01	1.0894e+00	0.0000e+00
2.0784e+00	2.7658e-01	1.0892e+00	0.0000e+00
2.0754e+00	2.7628e-01	1.0898e+00	0.0000e+00
2.0722e+00	2.7600e-01	1.0911e+00	0.0000e+00
2.0693e+00	2.7580e-01	1.0933e+00	0.0000e+00
2.0669e+00	2.7569e-01	1.0964e+00	0.0000e+00
2.0648e+00	2.7569e-01	1.1001e+00	0.0000e+00
2.0623e+00	2.7580e-01	1.1039e+00	0.0000e+00
2.0592e+00	2.7615e-01	1.1075e+00	0.0000e+00
2.0557e+00	2.7686e-01	1.1107e+00	0.0000e+00
2.0526e+00	2.7770e-01	1.1133e+00	0.0000e+00
2.0509e+00	2.7837e-01	1.1161e+00	0.0000e+00
2.0506e+00	2.7851e-01	1.1185e+00	0.0000e+00
2.0509e+00	2.7801e-01	1.1210e+00	0.0000e+00
2.0513e+00	2.7695e-01	1.1248e+00	0.0000e+00
2.0515e+00	2.7526e-01	1.1296e+00	0.0000e+00
2.0518e+00	2.7317e-01	1.1347e+00	0.0000e+00
2.0518e+00	2.7192e-01	1.1395e+00	0.0000e+00
2.0507e+00	2.7193e-01	1.1437e+00	0.0000e+00
2.0481e+00	2.7269e-01	1.1474e+00	0.0000e+00
2.0440e+00	2.7381e-01	1.1510e+00	0.0000e+00
2.0387e+00	2.7487e-01	1.1544e+00	0.0000e+00
2.0338e+00	2.7563e-01	1.1576e+00	0.0000e+00
2.0300e+00	2.7597e-01	1.1604e+00	0.0000e+00
2.0273e+00	2.7594e-01	1.1628e+00	0.0000e+00
2.0250e+00	2.7561e-01	1.1651e+00	0.0000e+00
2.0226e+00	2.7487e-01	1.1670e+00	0.0000e+00
2.0199e+00	2.7441e-01	1.1684e+00	0.0000e+00
2.0161e+00	2.7469e-01	1.1694e+00	0.0000e+00
2.0119e+00	2.7527e-01	1.1699e+00	0.0000e+00
2.0080e+00	2.7580e-01	1.1695e+00	0.0000e+00
2.0044e+00	2.7639e-01	1.1683e+00	0.0000e+00
2.0011e+00	2.7719e-01	1.1667e+00	0.0000e+00
1.9975e+00	2.7805e-01	1.1647e+00	0.0000e+00
1.9937e+00	2.7873e-01	1.1631e+00	0.0000e+00
1.9931e+00	2.7870e-01	1.1616e+00	0.0000e+00
1.9922e+00	2.7884e-01	1.1600e+00	0.0000e+00
1.9911e+00	2.7923e-01	1.1591e+00	0.0000e+00
1.9899e+00	2.7987e-01	1.1593e+00	0.0000e+00
1.9890e+00	2.8075e-01	1.1613e+00	0.0000e+00
1.9889e+00	2.8158e-01	1.1658e+00	0.0000e+00
1.9901e+00	2.8205e-01	1.1735e+00	0.0000e+00
1.9920e+00	2.8217e-01	1.1851e+00	0.0000e+00
1.9943e+00	2.8206e-01	1.1985e+00	0.0000e+00
1.9960e+00	2.8183e-01	1.2113e+00	0.0000e+00
1.9967e+00	2.8158e-01	1.2227e+00	0.0000e+00
1.9965e+00	2.8140e-01	1.2327e+00	0.0000e+00
1.9970e+00	2.8130e-01	1.2414e+00	0.0000e+00
1.9984e+00	2.8143e-01	1.2491e+00	0.0000e+00
1.9998e+00	2.8177e-01	1.2572e+00	0.0000e+00
2.0006e+00	2.8229e-01	1.2668e+00	0.0000e+00
2.0005e+00	2.8296e-01	1.2784e+00	0.0000e+00
1.9998e+00	2.8313e-01	1.2919e+00	0.0000e+00
1.9989e+00	2.8248e-01	1.3059e+00	0.0000e+00
1.9991e+00	2.8131e-01	1.3216e+00	0.0000e+00
2.0010e+00	2.7990e-01	1.3340e+00	0.0000e+00
2.0039e+00	2.7861e-01	1.3413e+00	0.0000e+00
2.0065e+00	2.7806e-01	1.3464e+00	0.0000e+00
2.0084e+00	2.7815e-01	1.3492e+00	0.0000e+00
2.0098e+00	2.7840e-01	1.3493e+00	0.0000e+00
2.0122e+00	2.7842e-01	1.3481e+00	0.0000e+00
2.0166e+00	2.7836e-01	1.3470e+00	0.0000e+00
2.0221e+00	2.7842e-01	1.3467e+00	0.0000e+00
2.0271e+00	2.7840e-01	1.3484e+00	0.0000e+00
2.0304e+00	2.7819e-01	1.3541e+00	0.0000e+00
2.0313e+00	2.7795e-01	1.3642e+00	0.0000e+00
2.0307e+00	2.7825e-01	1.3784e+00	0.0000e+00
2.0294e+00	2.7885e-01	1.3952e+00	0.0000e+00
2.0282e+00	2.7959e-01	1.4168e+00	0.0000e+00
2.0278e+00	2.8047e-01	1.4462e+00	0.0000e+00
2.0289e+00	2.8138e-01	1.4780e+00	0.0000e+00
2.0318e+00	2.8218e-01	1.5089e+00	0.0000e+00
2.0359e+00	2.8286e-01	1.5355e+00	0.0000e+00
2.0408e+00	2.8342e-01	1.5557e+00	0.0000e+00
2.0450e+00	2.8368e-01	1.5718e+00	0.0000e+00
2.0465e+00	2.8359e-01	1.5811e+00	0.0000e+00
2.0452e+00	2.8335e-01	1.5851e+00	1.0000e+00
2.0427e+00	2.8328e-01	1.5907e+00	0.0000e+00
2.0404e+00	2.8358e-01	1.5981e+00	0.0000e+00
2.0391e+00	2.8423e-01	1.6054e+00	0.0000e+00
2.0383e+00	2.8492e-01	1.6141e+00	0.0000e+00
2.0371e+00	2.8518e-01	1.6236e+00	0.0000e+00
2.0356e+00	2.8493e-01	1.6299e+00	0.0000e+00
2.0351e+00	2.8435e-01	1.6275e+00	0.0000e+00
2.0355e+00	2.8381e-01	1.6272e+00	0.0000e+00
2.0367e+00	2.8322e-01	1.6333e+00	0.0000e+00
2.0380e+00	2.8272e-01	1.6425e+00	0.0000e+00
2.0388e+00	2.8249e-01	1.6526e+00	0.0000e+00
2.0388e+00	2.8262e-01	1.6629e+00	0.0000e+00
2.0385e+00	2.8285e-01	1.6731e+00	0.0000e+00
2.0380e+00	2.8304e-01	1.6825e+00	0.0000e+00
2.0377e+00	2.8303e-01	1.6906e+00	0.0000e+00
2.0380e+00	2.8288e-01	1.6996e+00	0.0000e+00
2.0388e+00	2.8253e-01	1.7139e+00	0.0000e+00
2.0400e+00	2.8203e-01	1.7354e+00	0.0000e+00
2.0411e+00	2.8157e-01	1.7620e+00	0.0000e+00
2.0415e+00	2.8122e-01	1.7968e+00	0.0000e+00
2.0406e+00	2.8119e-01	1.8306e+00	0.0000e+00
2.0391e+00	2.8146e-01	1.8502e+00	0.0000e+00
2.0375e+00	2.8187e-01	1.8689e+00	0.0000e+00
2.0361e+00	2.8236e-01	1.8964e+00	0.0000e+00
2.0352e+00	2.8299e-01	1.9180e+00	0.0000e+00
2.0350e+00	2.8362e-01	1.9311e+00	0.0000e+00
2.0365e+00	2.8368e-01	1.9437e+00	0.0000e+00
2.0394e+00	2.8306e-01	1.9555e+00	0.0000e+00
2.0430e+00	2.8218e-01	1.9651e+00	0.0000e+00
2.0459e+00	2.8196e-01	1.9718e+00	0.0000e+00
2.0484e+00	2.8231e-01	1.9770e+00	0.0000e+00
2.0514e+00	2.8274e-01	1.9840e+00	0.0000e+00
2.0548e+00	2.8323e-01	1.9960e+00	0.0000e+00
2.0580e+00	2.8380e-01	2.0134e+00	0.0000e+00
2.0602e+00	2.8443e-01	2.0327e+00	0.0000e+00
2.0612e+00	2.8499e-01	2.0503e+00	0.0000e+00
2.0617e+00	2.8538e-01	2.0672e+00	0.0000e+00
2.0620e+00	2.8560e-01	2.0836e+00	0.0000e+00
2.0623e+00	2.8573e-01	2.0897e+00	0.0000e+00
2.0629e+00	2.8605e-01	2.0800e+00	0.0000e+00
2.0637e+00	2.8682e-01	2.0673e+00	0.0000e+00
2.0643e+00	2.8785e-01	2.0724e+00	0.0000e+00
2.0648e+00	2.8901e-01	2.0865e+00	0.0000e+00
