WL	EN	AR	Marker
2.4986e+00	2.0974e-01	8.4545e-02	0.0000e+00
2.4986e+00	2.0974e-01	8.4513e-02	0.0000e+00
2.4986e+00	2.0974e-01	8.4489e-02	0.0000e+00
2.4986e+00	2.0974e-01	8.4470e-02	0.0000e+00
2.4986e+00	2.0974e-01	8.4447e-02	0.0000e+00
2.4986e+00	2.0974e-01	8.4435e-02	0.0000e+00
2.4986e+00	2.0974e-01	8.4426e-02	0.0000e+00
2.5132e+00	2.0893e-01	8.4430e-02	0.0000e+00
2.5213e+00	2.0825e-01	8.4430e-02	0.0000e+00
2.5185e+00	2.0804e-01	8.4421e-02	0.0000e+00
2.5093e+00	2.0807e-01	8.4401e-02	0.0000e+00
2.4983e+00	2.0813e-01	8.4388e-02	0.0000e+00
2.4857e+00	2.0779e-01	8.4379e-02	0.0000e+00
2.4716e+00	2.0690e-01	8.4372e-02	0.0000e+00
2.4593e+00	2.0584e-01	8.4372e-02	0.0000e+00
2.4593e+00	2.0584e-01	8.4378e-02	0.0000e+00
2.4593e+00	2.0584e-01	8.4389e-02	0.0000e+00
2.4593e+00	2.0584e-01	8.4388e-02	0.0000e+00
2.4430e+00	2.0568e-01	8.4370e-02	0.0000e+00
2.4316e+00	2.0563e-01	8.4349e-02	0.0000e+00
2.4321e+00	2.0555e-01	8.4342e-02	0.0000e+00
2.4473e+00	2.0510e-01	8.4326e-02	0.0000e+00
2.4730e+00	2.0353e-01	8.4316e-02	0.0000e+00
2.5026e+00	2.0113e-01	8.4223e-02	0.0000e+00
2.5323e+00	1.9867e-01	8.3714e-02	0.0000e+00
2.5766e+00	1.9550e-01	8.2717e-02	0.0000e+00
2.6126e+00	1.9334e-01	8.1821e-02	0.0000e+00
2.6398e+00	1.9188e-01	8.1231e-02	0.0000e+00
2.6663e+00	1.9026e-01	8.0742e-02	0.0000e+00
2.7002e+00	1.8804e-01	8.0345e-02	0.0000e+00
2.7374e+00	1.8535e-01	8.0105e-02	0.0000e+00
2.7643e+00	1.8375e-01	8.0003e-02	0.0000e+00
2.7666e+00	1.8453e-01	8.0006e-02	0.0000e+00
2.7440e+00	1.8696e-01	8.0054e-02	0.0000e+00
2.7057e+00	1.8975e-01	8.0108e-02	0.0000e+00
2.6630e+00	1.9195e-01	8.0151e-02	0.0000e+00
2.6249e+00	1.9415e-01	8.0181e-02	0.0000e+00
2.5984e+00	1.9711e-01	8.0212e-02	0.0000e+00
2.5878e+00	1.9954e-01	8.0233e-02	0.0000e+00
2.5789e+00	2.0188e-01	8.0236e-02	0.0000e+00
