WL	EN	AR	Marker
1.8395e+00	2.3974e-01	3.7244e+00	0.0000e+00
1.8532e+00	2.3837e-01	3.7213e+00	0.0000e+00
1.8566e+00	2.3718e-01	3.7185e+00	0.0000e+00
1.8451e+00	2.3647e-01	3.7154e+00	0.0000e+00
1.8235e+00	2.3685e-01	3.7135e+00	0.0000e+00
1.8058e+00	2.3691e-01	3.7121e+00	0.0000e+00
1.8038e+00	2.3587e-01	3.7109e+00	0.0000e+00
1.8160e+00	2.3447e-01	3.7097e+00	0.0000e+00
1.8360e+00	2.3285e-01	3.7085e+00	0.0000e+00
1.8562e+00	2.3107e-01	3.7069e+00	0.0000e+00
1.8690e+00	2.2925e-01	3.7049e+00	0.0000e+00
1.8694e+00	2.2783e-01	3.7028e+00	0.0000e+00
1.8596e+00	2.2752e-01	3.7006e+00	0.0000e+00
1.8499e+00	2.2762e-01	3.6985e+00	0.0000e+00
1.8494e+00	2.2698e-01	3.6968e+00	0.0000e+00
1.8610e+00	2.2575e-01	3.6956e+00	0.0000e+00
1.8814e+00	2.2430e-01	3.6952e+00	0.0000e+00
1.9037e+00	2.2275e-01	3.6957e+00	0.0000e+00
1.9193e+00	2.2116e-01	3.6970e+00	0.0000e+00
1.9223e+00	2.1973e-01	3.6982e+00	0.0000e+00
1.9128e+00	2.1903e-01	3.6989e+00	0.0000e+00
1.8989e+00	2.1920e-01	3.6993e+00	0.0000e+00
1.8884e+00	2.1912e-01	3.6986e+00	0.0000e+00
1.8832e+00	2.1888e-01	3.6977e+00	0.0000e+00
1.8847e+00	2.1853e-01	3.6965e+00	0.0000e+00
1.8908e+00	2.1812e-01	3.6950e+00	0.0000e+00
1.8974e+00	2.1768e-01	3.6930e+00	0.0000e+00
1.9000e+00	2.1725e-01	3.6894e+00	0.0000e+00
1.8968e+00	2.1687e-01	3.6832e+00	0.0000e+00
1.8923e+00	2.1643e-01	3.6793e+00	0.0000e+00
1.8913e+00	2.1575e-01	3.6820e+00	0.0000e+00
1.8954e+00	2.1487e-01	3.6877e+00	0.0000e+00
1.9062e+00	2.1384e-01	3.6918e+00	0.0000e+00
1.9195e+00	2.1278e-01	3.6938e+00	0.0000e+00
1.9290e+00	2.1179e-01	3.6951e+00	0.0000e+00
1.9300e+00	2.1125e-01	3.6983e+00	0.0000e+00
1.9228e+00	2.1169e-01	3.7065e+00	0.0000e+00
1.9131e+00	2.1236e-01	3.7216e+00	0.0000e+00
1.9055e+00	2.1249e-01	3.7433e+00	0.0000e+00
1.9026e+00	2.1225e-01	3.7692e+00	0.0000e+00
1.9024e+00	2.1188e-01	3.7959e+00	0.0000e+00
1.9011e+00	2.1154e-01	3.8257e+00	0.0000e+00
1.8958e+00	2.1136e-01	3.8487e+00	0.0000e+00
1.8877e+00	2.1143e-01	3.8591e+00	0.0000e+00
1.8815e+00	2.1151e-01	3.8612e+00	0.0000e+00
1.8841e+00	2.1111e-01	3.8582e+00	0.0000e+00
1.8952e+00	2.1038e-01	3.8526e+00	0.0000e+00
1.9101e+00	2.0941e-01	3.8477e+00	0.0000e+00
1.9228e+00	2.0831e-01	3.8414e+00	0.0000e+00
1.9284e+00	2.0724e-01	3.8342e+00	0.0000e+00
1.9256e+00	2.0654e-01	3.8293e+00	0.0000e+00
1.9166e+00	2.0655e-01	3.8254e+00	0.0000e+00
1.9059e+00	2.0704e-01	3.8227e+00	0.0000e+00
1.8947e+00	2.0771e-01	3.8212e+00	0.0000e+00
1.8828e+00	2.0866e-01	3.8212e+00	0.0000e+00
1.8708e+00	2.1014e-01	3.8226e+00	0.0000e+00
1.8594e+00	2.1178e-01	3.8255e+00	0.0000e+00
1.8492e+00	2.1294e-01	3.8301e+00	0.0000e+00
1.8393e+00	2.1370e-01	3.8369e+00	0.0000e+00
1.8288e+00	2.1449e-01	3.8494e+00	0.0000e+00
1.8171e+00	2.1626e-01	3.8653e+00	0.0000e+00
1.8041e+00	2.1950e-01	3.8758e+00	0.0000e+00
1.7933e+00	2.2099e-01	3.8891e+00	0.0000e+00
1.7888e+00	2.2075e-01	3.9026e+00	0.0000e+00
1.7910e+00	2.2003e-01	3.9077e+00	0.0000e+00
1.7973e+00	2.1918e-01	3.9120e+00	0.0000e+00
1.8037e+00	2.1836e-01	3.9155e+00	0.0000e+00
1.8063e+00	2.1761e-01	3.9166e+00	0.0000e+00
1.7825e+00	2.1806e-01	3.9243e+00	0.0000e+00
1.7575e+00	2.1899e-01	3.9330e+00	0.0000e+00
1.7372e+00	2.2026e-01	3.9253e+00	0.0000e+00
1.7204e+00	2.2162e-01	3.9021e+00	0.0000e+00
1.7032e+00	2.2303e-01	3.8759e+00	0.0000e+00
1.6861e+00	2.2423e-01	3.8584e+00	0.0000e+00
1.6734e+00	2.2469e-01	3.8560e+00	0.0000e+00
1.6645e+00	2.2500e-01	3.8668e+00	0.0000e+00
1.6559e+00	2.2549e-01	3.8852e+00	0.0000e+00
1.6475e+00	2.2595e-01	3.9056e+00	0.0000e+00
1.6403e+00	2.2596e-01	3.9245e+00	0.0000e+00
1.6339e+00	2.2578e-01	3.9409e+00	0.0000e+00
1.6276e+00	2.2570e-01	3.9550e+00	0.0000e+00
1.6207e+00	2.2585e-01	3.9665e+00	0.0000e+00
1.6125e+00	2.2657e-01	3.9772e+00	0.0000e+00
1.6037e+00	2.2779e-01	3.9869e+00	0.0000e+00
1.5959e+00	2.2869e-01	3.9971e+00	0.0000e+00
1.5975e+00	2.2718e-01	4.0022e+00	0.0000e+00
1.5990e+00	2.2556e-01	3.9986e+00	0.0000e+00
1.5987e+00	2.2467e-01	3.9903e+00	0.0000e+00
1.5919e+00	2.2535e-01	3.9788e+00	0.0000e+00
1.5843e+00	2.2612e-01	3.9644e+00	0.0000e+00
1.5762e+00	2.2695e-01	3.9477e+00	0.0000e+00
1.5683e+00	2.2784e-01	3.9285e+00	0.0000e+00
1.5627e+00	2.2822e-01	3.9096e+00	0.0000e+00
1.5619e+00	2.2777e-01	3.8921e+00	0.0000e+00
1.5652e+00	2.2691e-01	3.8731e+00	0.0000e+00
1.5703e+00	2.2598e-01	3.8531e+00	0.0000e+00
1.5740e+00	2.2513e-01	3.8355e+00	0.0000e+00
1.5738e+00	2.2449e-01	3.8217e+00	0.0000e+00
1.5757e+00	2.2299e-01	3.8116e+00	0.0000e+00
1.5746e+00	2.2225e-01	3.8045e+00	0.0000e+00
1.5737e+00	2.2176e-01	3.7978e+00	0.0000e+00
1.5723e+00	2.2175e-01	3.7928e+00	0.0000e+00
1.5696e+00	2.2265e-01	3.7878e+00	0.0000e+00
1.5645e+00	2.2405e-01	3.7819e+00	0.0000e+00
1.5546e+00	2.2574e-01	3.7791e+00	0.0000e+00
1.5381e+00	2.2765e-01	3.7767e+00	0.0000e+00
1.5165e+00	2.2979e-01	3.7743e+00	0.0000e+00
1.4941e+00	2.3189e-01	3.7725e+00	0.0000e+00
1.4757e+00	2.3368e-01	3.7704e+00	0.0000e+00
1.4636e+00	2.3509e-01	3.7683e+00	0.0000e+00
1.4577e+00	2.3583e-01	3.7662e+00	0.0000e+00
1.4554e+00	2.3575e-01	3.7643e+00	0.0000e+00
1.4532e+00	2.3541e-01	3.7624e+00	0.0000e+00
1.4491e+00	2.3526e-01	3.7601e+00	0.0000e+00
1.4422e+00	2.3523e-01	3.7574e+00	0.0000e+00
1.4316e+00	2.3533e-01	3.7544e+00	0.0000e+00
1.4192e+00	2.3542e-01	3.7516e+00	0.0000e+00
1.4076e+00	2.3549e-01	3.7493e+00	0.0000e+00
1.3999e+00	2.3553e-01	3.7477e+00	0.0000e+00
1.3985e+00	2.3550e-01	3.7483e+00	0.0000e+00
1.4043e+00	2.3525e-01	3.7518e+00	0.0000e+00
1.4148e+00	2.3443e-01	3.7559e+00	0.0000e+00
1.4264e+00	2.3286e-01	3.7603e+00	0.0000e+00
1.4343e+00	2.3153e-01	3.7625e+00	0.0000e+00
1.4402e+00	2.3080e-01	3.7625e+00	0.0000e+00
1.4515e+00	2.3001e-01	3.7619e+00	0.0000e+00
1.4667e+00	2.2916e-01	3.7615e+00	0.0000e+00
1.4827e+00	2.2825e-01	3.7631e+00	0.0000e+00
1.4954e+00	2.2740e-01	3.7662e+00	0.0000e+00
1.5017e+00	2.2675e-01	3.7749e+00	0.0000e+00
1.5011e+00	2.2660e-01	3.7888e+00	0.0000e+00
1.4961e+00	2.2719e-01	3.8109e+00	0.0000e+00
1.4895e+00	2.2817e-01	3.8446e+00	0.0000e+00
1.4826e+00	2.2909e-01	3.8747e+00	1.0000e+00
1.4754e+00	2.3002e-01	3.9040e+00	0.0000e+00
1.4679e+00	2.3101e-01	3.9285e+00	0.0000e+00
1.4604e+00	2.3216e-01	3.9446e+00	0.0000e+00
1.4535e+00	2.3307e-01	3.9508e+00	0.0000e+00
1.4470e+00	2.3376e-01	3.9486e+00	0.0000e+00
1.4406e+00	2.3441e-01	3.9421e+00	0.0000e+00
1.4340e+00	2.3513e-01	3.9348e+00	0.0000e+00
