Timestamp	AFz	AF3	AF4	AF7	AF8	Pz	P3	P4	2023-06-28 15:01:30.521	fs=125
607001.497	47.386	180.602	889.599	-2960.265	1637.936	3021.956	1747.310	1498.163
607001.505	65.565	193.417	915.825	-2928.674	1642.108	3024.936	1761.317	1498.163
607001.513	50.068	179.708	913.441	-2942.085	1635.253	3035.665	1752.377	1505.613
607001.521	53.644	187.755	916.719	-2935.231	1645.982	3026.128	1755.655	1499.653
607001.529	49.770	177.026	902.116	-2948.940	1643.896	3040.731	1764.894	1509.786
607001.537	44.405	172.555	886.321	-2973.974	1626.909	3033.876	1754.165	1503.825
607001.545	56.028	188.351	907.481	-2948.344	1633.167	3025.830	1754.463	1496.971
607001.553	41.127	170.171	898.242	-2959.669	1628.697	3026.426	1738.965	1496.971
607001.561	44.107	172.555	900.030	-2963.245	1624.227	3017.485	1746.118	1490.414
607001.569	49.174	181.198	907.481	-2947.152	1631.081	3029.406	1756.847	1501.441
607001.577	42.617	170.171	897.646	-2961.457	1627.803	3026.128	1747.608	1498.163
607001.585	55.730	186.563	910.163	-2956.688	1627.505	3025.830	1758.635	1495.481
607001.593	55.730	190.139	922.084	-2939.999	1644.790	3030.896	1751.483	1501.739
607001.601	56.624	190.735	919.700	-2932.250	1651.645	3021.657	1753.569	1495.481
607001.609	51.856	177.622	910.759	-2944.768	1636.446	3029.704	1753.569	1499.951
607001.617	50.068	188.351	912.249	-2942.681	1629.293	3023.446	1747.608	1499.951
607001.625	61.095	199.974	910.759	-2928.376	1630.783	3027.320	1764.894	1505.017
607001.633	50.366	180.900	913.441	-2948.344	1625.121	3036.559	1756.251	1509.190
607001.641	51.260	179.708	924.766	-2959.073	1628.995	3036.857	1759.827	1504.123
607001.649	45.300	173.450	909.269	-2967.417	1617.372	3054.142	1766.980	1512.766
607001.657	46.194	175.238	903.606	-2951.622	1624.823	3046.691	1757.741	1508.594
607001.665	53.048	181.794	905.693	-2933.145	1637.638	3044.009	1766.682	1507.103
607001.673	30.398	158.846	880.957	-2963.841	1615.584	3047.884	1752.973	1509.488
607001.681	30.696	159.442	886.321	-2965.033	1599.789	3045.797	1762.211	1506.209
607001.689	61.691	183.284	917.315	-2938.509	1614.988	3051.460	1770.556	1510.084
607001.697	61.989	183.284	909.567	-2928.376	1618.266	3049.374	1764.000	1504.421
607001.705	76.592	196.993	914.931	-2900.362	1621.246	3054.738	1778.901	1506.805
607001.713	73.314	192.225	899.434	-2882.481	1610.219	3065.169	1777.708	1518.130
607001.718	73.314	187.755	894.368	-2878.010	1600.087	3054.440	1775.324	1505.315
