Timestamp	workload	stress	Marker
3.4739e+03	1.9098e+00	1.0651e+00	0.0000e+00	0.0000e+00
3.4740e+03	1.9105e+00	1.0652e+00	0.0000e+00	0.0000e+00
3.4741e+03	1.9112e+00	1.0655e+00	0.0000e+00	0.0000e+00
3.4742e+03	1.9117e+00	1.0657e+00	0.0000e+00	0.0000e+00
3.4743e+03	1.9119e+00	1.0659e+00	0.0000e+00	0.0000e+00
3.4744e+03	1.9119e+00	1.0661e+00	0.0000e+00	0.0000e+00
3.4745e+03	1.9122e+00	1.0662e+00	0.0000e+00	0.0000e+00
3.4746e+03	1.9127e+00	1.0662e+00	0.0000e+00	0.0000e+00
3.4747e+03	1.9133e+00	1.0663e+00	0.0000e+00	0.0000e+00
3.4748e+03	1.9135e+00	1.0663e+00	0.0000e+00	0.0000e+00
3.4749e+03	1.9132e+00	1.0663e+00	0.0000e+00	0.0000e+00
3.4750e+03	1.9135e+00	1.0663e+00	0.0000e+00	0.0000e+00
3.4751e+03	1.9153e+00	1.0665e+00	0.0000e+00	0.0000e+00
3.4752e+03	1.9151e+00	1.0666e+00	0.0000e+00	0.0000e+00
3.4753e+03	1.9147e+00	1.0669e+00	0.0000e+00	0.0000e+00
3.4754e+03	1.9135e+00	1.0668e+00	0.0000e+00	0.0000e+00
3.4755e+03	1.9124e+00	1.0668e+00	0.0000e+00	0.0000e+00
3.4756e+03	1.9114e+00	1.0668e+00	0.0000e+00	0.0000e+00
3.4757e+03	1.9125e+00	1.0673e+00	0.0000e+00	0.0000e+00
3.4758e+03	1.9132e+00	1.0676e+00	0.0000e+00	0.0000e+00
3.4759e+03	1.9145e+00	1.0681e+00	0.0000e+00	0.0000e+00
3.4760e+03	1.9151e+00	1.0684e+00	0.0000e+00	0.0000e+00
3.4761e+03	1.9163e+00	1.0688e+00	0.0000e+00	0.0000e+00
3.4762e+03	1.9166e+00	1.0688e+00	0.0000e+00	0.0000e+00
3.4763e+03	1.9174e+00	1.0688e+00	0.0000e+00	0.0000e+00
3.4764e+03	1.9198e+00	1.0694e+00	0.0000e+00	0.0000e+00
3.4765e+03	1.9222e+00	1.0702e+00	0.0000e+00	0.0000e+00
3.4766e+03	1.9245e+00	1.0708e+00	0.0000e+00	0.0000e+00
3.4767e+03	1.9267e+00	1.0715e+00	0.0000e+00	0.0000e+00
3.4768e+03	1.9290e+00	1.0720e+00	1.0000e+00	0.0000e+00
3.4769e+03	1.9314e+00	1.0726e+00	0.0000e+00	0.0000e+00
3.4770e+03	1.9340e+00	1.0732e+00	0.0000e+00	0.0000e+00
3.4771e+03	1.9363e+00	1.0738e+00	0.0000e+00	0.0000e+00
3.4772e+03	1.9386e+00	1.0746e+00	0.0000e+00	0.0000e+00
3.4773e+03	1.9412e+00	1.0752e+00	0.0000e+00	0.0000e+00
3.4774e+03	1.9432e+00	1.0757e+00	0.0000e+00	0.0000e+00
3.4775e+03	1.9453e+00	1.0762e+00	0.0000e+00	0.0000e+00
3.4776e+03	1.9477e+00	1.0768e+00	0.0000e+00	0.0000e+00
3.4777e+03	1.9503e+00	1.0775e+00	0.0000e+00	0.0000e+00
3.4778e+03	1.9531e+00	1.0782e+00	0.0000e+00	0.0000e+00
3.4779e+03	1.9554e+00	1.0791e+00	0.0000e+00	0.0000e+00
3.4780e+03	1.9575e+00	1.0800e+00	0.0000e+00	0.0000e+00
3.4781e+03	1.9594e+00	1.0807e+00	0.0000e+00	0.0000e+00
3.4782e+03	1.9607e+00	1.0813e+00	0.0000e+00	0.0000e+00
3.4783e+03	1.9608e+00	1.0812e+00	0.0000e+00	0.0000e+00
3.4784e+03	1.9624e+00	1.0817e+00	0.0000e+00	0.0000e+00
3.4785e+03	1.9639e+00	1.0823e+00	0.0000e+00	0.0000e+00
3.4786e+03	1.9659e+00	1.0829e+00	0.0000e+00	0.0000e+00
3.4787e+03	1.9682e+00	1.0836e+00	0.0000e+00	0.0000e+00
3.4788e+03	1.9701e+00	1.0843e+00	0.0000e+00	0.0000e+00
3.4789e+03	1.9718e+00	1.0852e+00	0.0000e+00	0.0000e+00
3.4790e+03	1.9728e+00	1.0859e+00	0.0000e+00	0.0000e+00
3.4791e+03	1.9733e+00	1.0863e+00	0.0000e+00	0.0000e+00
3.4792e+03	1.9740e+00	1.0866e+00	0.0000e+00	0.0000e+00
3.4793e+03	1.9731e+00	1.0866e+00	0.0000e+00	0.0000e+00
3.4794e+03	1.9738e+00	1.0870e+00	0.0000e+00	0.0000e+00
3.4795e+03	1.9750e+00	1.0873e+00	0.0000e+00	0.0000e+00
3.4796e+03	1.9764e+00	1.0878e+00	0.0000e+00	0.0000e+00
3.4797e+03	1.9775e+00	1.0881e+00	0.0000e+00	0.0000e+00
3.4798e+03	1.9787e+00	1.0883e+00	0.0000e+00	0.0000e+00
3.4799e+03	1.9796e+00	1.0886e+00	0.0000e+00	0.0000e+00
3.4800e+03	1.9802e+00	1.0886e+00	0.0000e+00	0.0000e+00
3.4801e+03	1.9811e+00	1.0886e+00	0.0000e+00	0.0000e+00
3.4802e+03	1.9823e+00	1.0888e+00	0.0000e+00	0.0000e+00
3.4803e+03	1.9829e+00	1.0891e+00	0.0000e+00	0.0000e+00
3.4804e+03	1.9838e+00	1.0892e+00	0.0000e+00	0.0000e+00
3.4805e+03	1.9838e+00	1.0892e+00	0.0000e+00	0.0000e+00
3.4806e+03	1.9839e+00	1.0893e+00	0.0000e+00	0.0000e+00
3.4807e+03	1.9845e+00	1.0896e+00	0.0000e+00	0.0000e+00
3.4808e+03	1.9849e+00	1.0898e+00	0.0000e+00	0.0000e+00
3.4809e+03	1.9855e+00	1.0900e+00	0.0000e+00	0.0000e+00
3.4810e+03	1.9861e+00	1.0900e+00	0.0000e+00	0.0000e+00
3.4811e+03	1.9867e+00	1.0901e+00	0.0000e+00	0.0000e+00
3.4812e+03	1.9874e+00	1.0905e+00	0.0000e+00	0.0000e+00
3.4813e+03	1.9876e+00	1.0910e+00	0.0000e+00	0.0000e+00
3.4814e+03	1.9877e+00	1.0914e+00	0.0000e+00	0.0000e+00
3.4815e+03	1.9878e+00	1.0919e+00	0.0000e+00	0.0000e+00
3.4816e+03	1.9871e+00	1.0920e+00	0.0000e+00	0.0000e+00
3.4817e+03	1.9857e+00	1.0926e+00	0.0000e+00	0.0000e+00
3.4818e+03	1.9845e+00	1.0933e+00	0.0000e+00	0.0000e+00
