Timestamp	workload	stress	Marker
9.4422e+03	1.3470e+00	6.3394e-01	0.0000e+00
9.4423e+03	1.3464e+00	6.3424e-01	0.0000e+00
9.4424e+03	1.3455e+00	6.3447e-01	0.0000e+00
9.4425e+03	1.3444e+00	6.3472e-01	0.0000e+00
9.4426e+03	1.3435e+00	6.3492e-01	0.0000e+00
9.4427e+03	1.3430e+00	6.3521e-01	0.0000e+00
9.4428e+03	1.3426e+00	6.3549e-01	0.0000e+00
9.4429e+03	1.3422e+00	6.3575e-01	0.0000e+00
9.4430e+03	1.3420e+00	6.3597e-01	0.0000e+00
9.4431e+03	1.3419e+00	6.3620e-01	0.0000e+00
9.4432e+03	1.3418e+00	6.3651e-01	0.0000e+00
9.4433e+03	1.3426e+00	6.3738e-01	0.0000e+00
9.4434e+03	1.3432e+00	6.3802e-01	0.0000e+00
9.4435e+03	1.3438e+00	6.3861e-01	0.0000e+00
9.4436e+03	1.3445e+00	6.3918e-01	0.0000e+00
9.4437e+03	1.3454e+00	6.3968e-01	0.0000e+00
9.4438e+03	1.3466e+00	6.4015e-01	0.0000e+00
9.4439e+03	1.3474e+00	6.4063e-01	0.0000e+00
9.4440e+03	1.3480e+00	6.4105e-01	0.0000e+00
9.4441e+03	1.3488e+00	6.4157e-01	0.0000e+00
9.4442e+03	1.3496e+00	6.4204e-01	0.0000e+00
9.4443e+03	1.3507e+00	6.4251e-01	0.0000e+00
9.4444e+03	1.3516e+00	6.4290e-01	0.0000e+00
9.4445e+03	1.3521e+00	6.4331e-01	0.0000e+00
9.4446e+03	1.3526e+00	6.4367e-01	0.0000e+00
9.4447e+03	1.3529e+00	6.4409e-01	0.0000e+00
9.4448e+03	1.3530e+00	6.4451e-01	0.0000e+00
9.4449e+03	1.3529e+00	6.4502e-01	0.0000e+00
9.4450e+03	1.3528e+00	6.4557e-01	0.0000e+00
9.4451e+03	1.3530e+00	6.4617e-01	0.0000e+00
9.4452e+03	1.3533e+00	6.4688e-01	0.0000e+00
9.4453e+03	1.3537e+00	6.4779e-01	0.0000e+00
9.4454e+03	1.3541e+00	6.4887e-01	0.0000e+00
9.4455e+03	1.3542e+00	6.4988e-01	0.0000e+00
9.4456e+03	1.3542e+00	6.5079e-01	0.0000e+00
9.4457e+03	1.3542e+00	6.5165e-01	0.0000e+00
9.4458e+03	1.3542e+00	6.5251e-01	0.0000e+00
9.4459e+03	1.3547e+00	6.5340e-01	0.0000e+00
9.4460e+03	1.3550e+00	6.5428e-01	0.0000e+00
9.4461e+03	1.3554e+00	6.5523e-01	0.0000e+00
9.4462e+03	1.3557e+00	6.5609e-01	0.0000e+00
9.4463e+03	1.3560e+00	6.5709e-01	0.0000e+00
9.4464e+03	1.3560e+00	6.5812e-01	0.0000e+00
9.4465e+03	1.3561e+00	6.5911e-01	0.0000e+00
9.4466e+03	1.3560e+00	6.6002e-01	0.0000e+00
9.4467e+03	1.3559e+00	6.6085e-01	0.0000e+00
9.4468e+03	1.3561e+00	6.6148e-01	0.0000e+00
9.4469e+03	1.3564e+00	6.6196e-01	0.0000e+00
9.4470e+03	1.3569e+00	6.6240e-01	0.0000e+00
9.4471e+03	1.3571e+00	6.6283e-01	0.0000e+00
9.4472e+03	1.3571e+00	6.6307e-01	1.0000e+00
9.4473e+03	1.3574e+00	6.6312e-01	0.0000e+00
9.4474e+03	1.3576e+00	6.6316e-01	0.0000e+00
9.4475e+03	1.3579e+00	6.6319e-01	0.0000e+00
9.4476e+03	1.3585e+00	6.6326e-01	0.0000e+00
9.4477e+03	1.3591e+00	6.6330e-01	0.0000e+00
9.4478e+03	1.3600e+00	6.6321e-01	0.0000e+00
9.4479e+03	1.3607e+00	6.6287e-01	0.0000e+00
