Timestamp	workload	stress	Marker
4.5771e+03	2.1034e+00	1.1923e+00	0.0000e+00	0.0000e+00
4.5772e+03	2.1027e+00	1.1918e+00	0.0000e+00	0.0000e+00
4.5773e+03	2.1017e+00	1.1912e+00	0.0000e+00	0.0000e+00
4.5774e+03	2.1008e+00	1.1906e+00	0.0000e+00	0.0000e+00
4.5775e+03	2.0997e+00	1.1899e+00	0.0000e+00	0.0000e+00
4.5776e+03	2.0985e+00	1.1893e+00	0.0000e+00	0.0000e+00
4.5777e+03	2.0973e+00	1.1887e+00	0.0000e+00	0.0000e+00
4.5778e+03	2.0962e+00	1.1881e+00	0.0000e+00	0.0000e+00
4.5779e+03	2.0953e+00	1.1874e+00	0.0000e+00	0.0000e+00
4.5780e+03	2.0945e+00	1.1866e+00	0.0000e+00	0.0000e+00
4.5781e+03	2.0939e+00	1.1857e+00	0.0000e+00	0.0000e+00
4.5782e+03	2.0933e+00	1.1849e+00	0.0000e+00	0.0000e+00
4.5783e+03	2.0926e+00	1.1841e+00	0.0000e+00	0.0000e+00
4.5784e+03	2.0920e+00	1.1833e+00	0.0000e+00	0.0000e+00
4.5785e+03	2.0916e+00	1.1825e+00	0.0000e+00	0.0000e+00
4.5786e+03	2.0912e+00	1.1817e+00	0.0000e+00	0.0000e+00
4.5787e+03	2.0879e+00	1.1802e+00	0.0000e+00	0.0000e+00
4.5788e+03	2.0842e+00	1.1790e+00	0.0000e+00	0.0000e+00
4.5789e+03	2.0809e+00	1.1779e+00	0.0000e+00	0.0000e+00
4.5790e+03	2.0783e+00	1.1768e+00	0.0000e+00	0.0000e+00
4.5791e+03	2.0753e+00	1.1758e+00	0.0000e+00	0.0000e+00
4.5792e+03	2.0718e+00	1.1747e+00	0.0000e+00	0.0000e+00
4.5793e+03	2.0682e+00	1.1737e+00	0.0000e+00	0.0000e+00
4.5794e+03	2.0645e+00	1.1727e+00	0.0000e+00	0.0000e+00
4.5795e+03	2.0608e+00	1.1723e+00	0.0000e+00	0.0000e+00
4.5796e+03	2.0608e+00	1.1715e+00	0.0000e+00	0.0000e+00
4.5797e+03	2.0575e+00	1.1703e+00	0.0000e+00	0.0000e+00
4.5798e+03	2.0546e+00	1.1693e+00	0.0000e+00	0.0000e+00
4.5799e+03	2.0514e+00	1.1685e+00	0.0000e+00	0.0000e+00
4.5800e+03	2.0483e+00	1.1679e+00	0.0000e+00	0.0000e+00
4.5801e+03	2.0454e+00	1.1671e+00	0.0000e+00	0.0000e+00
