Timestamp	workload	stress	Marker
8.8974e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8974e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8974e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8974e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8974e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8974e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8974e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8974e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8974e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8974e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8974e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8974e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8975e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8975e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8975e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8975e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8975e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8975e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8975e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8975e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8975e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8975e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8975e+05	2.3137e+00	1.1692e+00	0.0000e+00
8.8975e+05	2.3311e+00	1.1767e+00	0.0000e+00
8.8975e+05	2.3311e+00	1.1767e+00	0.0000e+00
8.8975e+05	2.3311e+00	1.1767e+00	0.0000e+00
8.8975e+05	2.3311e+00	1.1767e+00	0.0000e+00
8.8975e+05	2.3311e+00	1.1767e+00	0.0000e+00
8.8975e+05	2.3311e+00	1.1767e+00	0.0000e+00
8.8975e+05	2.3311e+00	1.1767e+00	0.0000e+00
8.8975e+05	2.3311e+00	1.1767e+00	0.0000e+00
8.8975e+05	2.3311e+00	1.1767e+00	0.0000e+00
8.8975e+05	2.3528e+00	1.1820e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	1.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3701e+00	1.1867e+00	0.0000e+00
8.8975e+05	2.3695e+00	1.1781e+00	0.0000e+00
8.8975e+05	2.3694e+00	1.1710e+00	0.0000e+00
8.8975e+05	2.3702e+00	1.1645e+00	0.0000e+00
8.8975e+05	2.3722e+00	1.1586e+00	0.0000e+00
8.8975e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8975e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8975e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8975e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	1.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
8.8976e+05	2.3734e+00	1.1525e+00	0.0000e+00
